,"gene","target","PID","alnLength","mismatchCount","gapOpenCount","queryStart","queryEnd","subjectStart","subjectEnd","eVal","bitScore","gene_length","COV","BBH"
2106,"SCO1141","SYNPCC7942_RS00385",28,125,74,5,22,133,19,140,4.02E-06,40.4,140,0.892857142857143,"<=>"
2108,"SCO1144","SYNPCC7942_RS10690",38.023,526,316,7,67,591,64,580,1.6E-108,335,600,0.876666666666667,"<=>"
2250,"SCO1167","SYNPCC7942_RS04505",34.744,898,521,19,35,885,129,1008,2.35E-138,434,890,1.00898876404494,"<=>"
2290,"SCO1243","SYNPCC7942_RS00140",39.155,355,200,6,25,372,40,385,3.56E-55,182,375,0.946666666666667,"<=>"
2294,"SCO1245","SYNPCC7942_RS00160",37.825,423,233,9,18,421,6,417,6.61E-81,252,428,0.988317757009346,"<=>"
2420,"SCO1315","SYNPCC7942_RS09950",49.045,157,78,1,14,170,11,165,2.31E-43,139,178,0.882022471910112,"<=>"
2423,"SCO1316","SYNPCC7942_RS00050",39.247,186,105,3,16,196,22,204,3.65E-32,112,211,0.881516587677725,"<=>"
2445,"SCO1344","SYNPCC7942_RS04245",29.47,509,319,14,23,508,20,511,6.75E-52,181,530,0.960377358490566,"<=>"
2451,"SCO1346","SYNPCC7942_RS03505",44.534,247,124,4,7,250,9,245,1.01E-54,173,253,0.976284584980237,"<=>"
2524,"SCO1371","SYNPCC7942_RS08160",45.076,264,135,6,6,267,8,263,1.91E-53,171,269,0.981412639405204,"<=>"
2526,"SCO1378","SYNPCC7942_RS10385",58.867,953,376,7,17,961,8,952,0,1048,961,0.991675338189386,"<=>"
2528,"SCO1382","SYNPCC7942_RS05495",42.675,157,84,3,1,152,1,156,1.79E-34,115,157,1,"<=>"
2530,"SCO1388","SYNPCC7942_RS02530",35.399,839,528,7,1,828,1,836,0,545,831,1.00962695547533,"<=>"
2575,"SCO1428","anL52",24.189,339,236,8,49,381,26,349,1.53E-09,55.1,391,0.867007672634271,"<=>"
2580,"SCO1436","SYNPCC7942_RS13220",34.292,452,269,11,9,443,31,471,5.91E-61,202,443,1.02031602708804,"<=>"
2586,"SCO1443","SYNPCC7942_RS08285",47.317,205,99,5,1,199,1,202,4.32E-50,158,200,1.025,"<=>"
2587,"SCO1445","SYNPCC7942_RS12320",29.545,264,146,11,4,234,3,259,8.56E-18,77.8,255,1.03529411764706,"<=>"
2598,"SCO1464","SYNPCC7942_RS03100",48.815,211,106,1,5,213,8,218,5.53E-68,205,228,0.925438596491228,"<=>"
2603,"SCO1472","SYNPCC7942_RS04945",32.12,467,286,10,17,474,3,447,2.41E-50,174,475,0.983157894736842,"<=>"
2604,"SCO1473","SYNPCC7942_RS10695",37.963,324,180,5,1,305,1,322,1.41E-54,177,310,1.04516129032258,"<=>"
2608,"SCO1476","SYNPCC7942_RS12520",57.108,415,159,5,1,400,1,411,7.4E-163,460,402,1.03233830845771,"<=>"
2609,"SCO1477","SYNPCC7942_RS01490",41.25,400,221,9,32,422,11,405,1.14E-88,271,427,0.936768149882904,"<=>"
2610,"SCO1479","SYNPCC7942_RS06100",53.892,167,77,0,18,184,5,171,8.22E-57,174,197,0.847715736040609,"<=>"
2612,"SCO1482","SYNPCC7942_RS01475",46.407,334,168,4,35,362,45,373,8.06E-89,269,368,0.907608695652174,"<=>"
2613,"SCO1483","SYNPCC7942_RS03645",54.61,1128,442,13,1,1093,1,1093,0,1170,1102,1.02359346642468,"<=>"
2616,"SCO1484","SYNPCC7942_RS10760",49.086,383,174,4,8,379,14,386,3.08E-118,345,380,1.00789473684211,"<=>"
2621,"SCO1487","SYNPCC7942_RS03430",45.373,335,157,6,2,316,6,334,2.07E-91,273,326,1.02760736196319,"<=>"
2623,"SCO1488","SYNPCC7942_RS06745",54.658,161,72,1,22,182,16,175,6.45E-50,156,193,0.83419689119171,"<=>"
2626,"SCO1491","SYNPCC7942_RS13035",55.135,185,82,1,1,185,1,184,8.25E-71,209,188,0.984042553191489,"<=>"
2629,"SCO1494","SYNPCC7942_RS02670",38.679,318,189,4,35,347,35,351,1.13E-64,206,363,0.87603305785124,"<=>"
2630,"SCO1495","SYNPCC7942_RS04605",34.568,162,105,1,6,166,12,173,5.51E-25,92,171,0.947368421052632,"<=>"
2632,"SCO1496","SYNPCC7942_RS01075",37.602,367,200,10,4,366,9,350,5.02E-55,182,394,0.931472081218274,"<=>"
2633,"SCO1498","SYNPCC7942_RS12540",34.643,280,156,10,9,270,9,279,5.21E-31,113,279,1.00358422939068,"<=>"
2634,"SCO1500","SYNPCC7942_RS12185",35.821,134,85,1,20,153,7,139,4.11E-22,83.6,167,0.802395209580838,"<=>"
2635,"SCO1501","SYNPCC7942_RS04515",43.052,878,476,12,5,880,10,865,0,628,890,0.986516853932584,"<=>"
2637,"SCO1505","SYNPCC7942_RS07600",42,200,108,3,7,204,7,200,4.61E-42,137,204,0.980392156862745,"<=>"
2641,"SCO1508","SYNPCC7942_RS11500",41.587,416,238,4,6,419,1,413,5.08E-104,312,425,0.978823529411765,"<=>"
2648,"SCO1513","SYNPCC7942_RS07045",41.927,737,386,12,127,843,45,759,0,572,847,0.87012987012987,"<=>"
2656,"SCO1518","SYNPCC7942_RS04320",54.848,330,147,1,20,349,36,363,6.15E-120,348,357,0.92436974789916,"<=>"
2657,"SCO1519","SYNPCC7942_RS11680",32.474,194,120,4,1,184,1,193,8.7E-23,87.8,201,0.965174129353234,"<=>"
2659,"SCO1521","SYNPCC7942_RS05230",42.688,253,140,5,1,250,1,251,7.57E-59,184,250,1.012,"<=>"
2680,"SCO1531","SYNPCC7942_RS13275",44.034,595,299,9,51,631,2,576,1.43E-166,486,658,0.904255319148936,"<=>"
2697,"SCO1546","SYNPCC7942_RS06825",33.475,236,149,6,17,248,17,248,3.82E-27,102,273,0.864468864468864,"<=>"
2714,"SCO1555","SYNPCC7942_RS09385",28.333,360,228,14,15,360,23,366,1.56E-20,89,408,0.882352941176471,"<=>"
2772,"SCO1570","SYNPCC7942_RS12575",41.575,457,264,3,11,466,10,464,4.72E-115,343,475,0.962105263157895,"<=>"
2774,"SCO1577","SYNPCC7942_RS04850",43.229,384,192,9,7,369,20,398,1.13E-88,271,402,0.955223880597015,"<=>"
2777,"SCO1578","SYNPCC7942_RS07645",45.775,284,145,3,18,299,13,289,3.08E-81,244,306,0.928104575163399,"<=>"
2778,"SCO1579","SYNPCC7942_RS09615",37.871,404,227,6,3,383,13,415,1.07E-61,200,383,1.05483028720627,"<=>"
2779,"SCO1580","SYNPCC7942_RS07330",40.688,349,187,8,7,342,11,352,1.23E-67,213,342,1.02046783625731,"<=>"
2791,"SCO1594","SYNPCC7942_RS06615",34.322,877,472,27,1,840,1,810,6.89E-116,368,840,1.04404761904762,"<=>"
2792,"SCO1595","SYNPCC7942_RS10470",45.014,351,164,5,5,354,11,333,2.76E-98,291,358,0.980446927374302,"<=>"
2806,"SCO1597","SYNPCC7942_RS06140",30.451,266,176,5,8,273,2,258,2.2E-27,103,282,0.943262411347518,"<=>"
2810,"SCO1598","SYNPCC7942_RS06540",50.862,116,57,0,1,116,1,116,3.76E-28,96.3,127,0.913385826771654,"<=>"
2811,"SCO1599","SYNPCC7942_RS06545",41.935,62,36,0,1,62,1,62,3.75E-12,52,64,0.96875,"<=>"
2884,"SCO1631","SYNPCC7942_RS06770",32.937,926,494,20,46,917,34,886,5.33E-129,409,950,0.974736842105263,"<=>"
2885,"SCO1632","SYNPCC7942_RS08060",30.451,266,160,6,3,264,26,270,9.95E-27,102,316,0.841772151898734,"<=>"
2921,"SCO1656","SYNPCC7942_RS06905",34.737,190,117,4,19,203,3,190,3.1E-23,90.5,233,0.815450643776824,"<=>"
2926,"SCO1657","SYNPCC7942_RS07020",49.706,1189,538,16,27,1169,16,1190,0,1068,1170,1.01623931623932,"<=>"
2932,"SCO1667","SYNPCC7942_RS07015",27.027,333,215,9,14,334,57,373,2.81E-30,115,334,0.997005988023952,"<=>"
2933,"SCO1670","SYNPCC7942_RS00135",36.789,299,160,14,5,290,8,290,1.56E-31,117,328,0.911585365853659,"<=>"
2949,"SCO1704","SYNPCC7942_RS05260",30.824,279,162,8,27,288,26,290,1.5E-11,60.5,324,0.861111111111111,"<=>"
3145,"SCO1758","SYNPCC7942_RS11890",43.596,445,237,8,52,487,2,441,3.37E-113,338,492,0.904471544715447,"<=>"
3158,"SCO1762","SYNPCC7942_RS09720",42.241,116,66,1,3,117,5,120,3.34E-24,86.7,120,0.966666666666667,"<=>"
3172,"SCO1773","SYNPCC7942_RS08945",50,358,177,2,1,358,1,356,4.33E-113,330,371,0.964959568733154,"<=>"
3175,"SCO1776","SYNPCC7942_RS09920",55.493,537,229,6,8,543,2,529,0,593,549,0.978142076502732,"<=>"
3179,"SCO1780","SYNPCC7942_RS09040",31.359,574,373,6,1,570,5,561,2.58E-76,249,572,1.0034965034965,"<=>"
3181,"SCO1781","SYNPCC7942_RS09465",34.202,307,178,9,5,299,2,296,1.17E-41,142,301,1.01993355481728,"<=>"
3183,"SCO1782","SYNPCC7942_RS01625",49.6,250,117,3,4,250,1,244,3.1E-69,211,271,0.922509225092251,"<=>"
3229,"SCO1792","SYNPCC7942_RS03425",37.566,189,99,6,14,201,14,184,2.11E-27,100,213,0.887323943661972,"<=>"
3230,"SCO1795","SYNPCC7942_RS11190",47.973,148,66,4,1,144,1,141,1.62E-41,133,168,0.880952380952381,"<=>"
3305,"SCO1804","SYNPCC7942_RS11930",32.849,344,199,13,27,358,31,354,6.37E-33,122,358,0.960893854748603,"<=>"
3359,"SCO1814","SYNPCC7942_RS00640",33.333,255,164,4,5,254,4,257,1.5E-38,132,255,1,"<=>"
3364,"SCO1816","SYNPCC7942_RS09510",28.378,444,265,17,31,460,21,425,1.23E-24,102,507,0.875739644970414,"<=>"
3367,"SCO1818","SYNPCC7942_RS13060",27.506,389,255,8,28,415,36,398,8.74E-29,113,422,0.921800947867299,"<=>"
3368,"SCO1821","SYNPCC7942_RS06565",37.71,297,172,5,13,305,3,290,6.26E-52,171,341,0.870967741935484,"<=>"
3457,"SCO1847","SYNPCC7942_RS07370",34.824,313,177,7,16,309,17,321,7.85E-37,131,327,0.957186544342508,"<=>"
3458,"SCO1848","SYNPCC7942_RS01070",42.626,495,255,6,5,481,4,487,9.34E-118,352,502,0.98605577689243,"<=>"
3460,"SCO1849","SYNPCC7942_RS00495",39.667,1263,672,23,4,1214,28,1252,0,885,1217,1.03779786359901,"<=>"
3465,"SCO1851","SYNPCC7942_RS04920",39.779,181,101,4,20,199,42,215,2.16E-40,133,199,0.909547738693467,"<=>"
3469,"SCO1852","SYNPCC7942_RS09410",39.588,485,246,8,13,486,3,451,5.89E-109,327,486,0.997942386831276,"<=>"
3471,"SCO1853","SYNPCC7942_RS09400",29.461,241,156,6,1,236,1,232,8.72E-25,94.7,243,0.991769547325103,"<=>"
3473,"SCO1855","SYNPCC7942_RS06300",37.218,266,164,3,7,271,8,271,1.19E-52,169,281,0.94661921708185,"<=>"
3480,"SCO1857","SYNPCC7942_RS09405",31.676,543,327,13,6,526,46,566,2.96E-65,219,583,0.93138936535163,"<=>"
3486,"SCO1859","SYNPCC7942_RS05685",33.138,341,201,14,6,329,22,352,1.82E-29,112,339,1.00589970501475,"<=>"
3539,"SCO1920","SYNPCC7942_RS09080",37.324,142,80,4,2,140,5,140,1.1E-26,95.1,156,0.91025641025641,"<=>"
3540,"SCO1921","SYNPCC7942_RS08845",51.716,408,190,3,13,418,13,415,2.65E-151,432,418,0.976076555023923,"<=>"
3545,"SCO1922","SYNPCC7942_RS08835",56.911,246,97,5,4,245,10,250,2.19E-89,262,254,0.968503937007874,"<=>"
3589,"SCO1924","SYNPCC7942_RS08840",27.363,402,248,10,15,381,33,425,5.28E-32,122,394,1.02030456852792,"<=>"
3591,"SCO1925","SYNPCC7942_RS08830",41.88,468,259,6,18,473,13,479,2.1E-140,408,473,0.989429175475687,"<=>"
3593,"SCO1926","SYNPCC7942_RS08820",29.808,208,139,5,18,223,8,210,2.3E-18,77.4,252,0.825396825396825,"<=>"
3642,"SCO1934","SYNPCC7942_RS13245",44.983,289,153,2,49,336,17,300,2.41E-70,218,340,0.85,"<=>"
3649,"SCO1939","SYNPCC7942_RS02690",32.812,256,142,8,5,248,22,259,5.74E-28,104,261,0.980842911877395,"<=>"
3651,"SCO1945","SYNPCC7942_RS06460",46.457,254,123,5,4,257,2,242,1.95E-70,213,258,0.984496124031008,"<=>"
3652,"SCO1946","SYNPCC7942_RS05720",50.49,408,185,7,2,403,4,400,1.48E-126,367,403,1.01240694789082,"<=>"
3653,"SCO1947","SYNPCC7942_RS08865",57.879,330,136,3,1,328,1,329,3.9E-129,369,336,0.982142857142857,"<=>"
3657,"SCO1953","SYNPCC7942_RS09870",37.335,683,361,12,1,675,10,633,2.11E-135,410,728,0.938186813186813,"<=>"
3659,"SCO1957","SYNPCC7942_RS00585",30.075,266,167,7,2,250,8,271,1.52E-18,80.9,302,0.880794701986755,"<=>"
3661,"SCO1958","SYNPCC7942_RS04380",56.263,974,391,7,3,944,26,996,0,1073,1014,0.960552268244576,"<=>"
3683,"SCO1961","SYNPCC7942_RS04705",51.825,137,65,1,10,146,4,139,4.67E-43,136,157,0.872611464968153,"<=>"
3686,"SCO1966","SYNPCC7942_RS02865",54.95,697,275,4,11,703,1,662,0,780,712,0.978932584269663,"<=>"
3691,"SCO1970","SYNPCC7942_RS02910",30.216,139,77,5,15,144,15,142,1.56E-07,44.3,147,0.945578231292517,"<=>"
3702,"SCO1996","SYNPCC7942_RS01390",43.503,177,93,3,3,175,13,186,2.32E-34,117,200,0.885,"<=>"
3714,"SCO2003","SYNPCC7942_RS00985",35.419,991,526,25,1,905,1,963,2.02E-152,470,907,1.09261300992282,"<=>"
3716,"SCO2008","SYNPCC7942_RS09440",25.899,417,264,12,8,396,1,400,5.6E-24,99.4,418,0.997607655502392,"<=>"
3719,"SCO2009","SYNPCC7942_RS12660",32.523,329,176,10,6,309,5,312,8.3E-33,119,310,1.06129032258065,"<=>"
3726,"SCO2011","SYNPCC7942_RS12650",47.809,251,129,2,20,268,2,252,3.06E-63,197,309,0.812297734627832,"<=>"
3769,"SCO2012","SYNPCC7942_RS12645",51.502,233,113,0,4,236,5,237,7.09E-82,241,238,0.978991596638655,"<=>"
3850,"SCO2026","SYNPCC7942_RS04585",45.254,1538,754,25,3,1482,10,1517,0,1254,1514,1.01585204755614,"<=>"
3854,"SCO2036","SYNPCC7942_RS02095",40.909,264,150,2,8,270,4,262,5.79E-63,195,271,0.974169741697417,"<=>"
3855,"SCO2037","SYNPCC7942_RS10880",58.481,395,159,1,12,401,22,416,6.3E-165,467,427,0.925058548009368,"<=>"
3858,"SCO2039","SYNPCC7942_RS06130",45.022,231,119,5,38,263,67,294,6.67E-45,149,269,0.858736059479554,"<=>"
3859,"SCO2043","SYNPCC7942_RS05145",43.75,512,251,11,8,494,5,504,1.72E-114,344,502,1.0199203187251,"<=>"
3864,"SCO2048","SYNPCC7942_RS10580",57.312,253,104,2,3,251,2,254,7.49E-91,265,251,1.00796812749004,"<=>"
3866,"SCO2049","SYNPCC7942_RS12240",40.323,124,74,0,7,130,4,127,5.31E-29,99.4,134,0.925373134328358,"<=>"
3867,"SCO2050","SYNPCC7942_RS09280",45.378,238,127,3,4,238,1,238,1.15E-52,167,240,0.991666666666667,"<=>"
3869,"SCO2051","SYNPCC7942_RS07570",39.623,212,109,6,15,219,6,205,4.81E-42,138,222,0.954954954954955,"<=>"
3870,"SCO2052","SYNPCC7942_RS00635",47.716,197,98,2,3,197,16,209,6.07E-60,183,197,1,"<=>"
3871,"SCO2053","SYNPCC7942_RS05290",33.424,368,211,14,10,357,5,358,1.07E-42,149,369,0.997289972899729,"<=>"
3875,"SCO2054","SYNPCC7942_RS07765",41.5,400,226,5,36,432,34,428,3.96E-100,302,441,0.90702947845805,"<=>"
3876,"SCO2057","SYNPCC7942_RS04545",30.396,227,117,7,1,222,6,196,1.56E-18,77.8,246,0.922764227642276,"<=>"
3928,"SCO2071","SYNPCC7942_RS04195",29.735,491,305,13,26,511,42,497,6.57E-41,151,528,0.929924242424242,"<=>"
3930,"SCO2073","SYNPCC7942_RS05700",36.424,302,178,7,19,312,15,310,3.06E-50,166,314,0.961783439490446,"<=>"
3933,"SCO2076","SYNPCC7942_RS12380",29.765,850,504,29,12,812,21,826,1.01E-88,302,1047,0.811843361986628,"<=>"
3937,"SCO2078","SYNPCC7942_RS02430",30.233,86,48,4,1,84,6,81,5.13E-05,35.4,94,0.914893617021277,"<=>"
3939,"SCO2080","SYNPCC7942_RS10450",36.893,206,122,4,33,235,19,219,2.74E-31,111,239,0.861924686192469,"<=>"
3941,"SCO2082","SYNPCC7942_RS12085",59.821,336,128,2,8,343,37,365,4.44E-115,338,399,0.842105263157895,"<=>"
3942,"SCO2084","SYNPCC7942_RS11755",35.849,318,182,9,3,315,8,308,2.49E-40,142,364,0.873626373626374,"<=>"
3943,"SCO2085","SYNPCC7942_RS01650",31.152,382,234,7,42,413,16,378,1.04E-34,130,456,0.837719298245614,"<=>"
3946,"SCO2086","SYNPCC7942_RS08500",32.582,488,271,14,8,466,2,460,4.67E-36,135,471,1.03609341825902,"<=>"
3949,"SCO2087","SYNPCC7942_RS00770",36.364,341,167,11,10,341,55,354,4.96E-43,149,363,0.939393939393939,"<=>"
3951,"SCO2088","SYNPCC7942_RS09340",34.404,436,246,12,34,455,35,444,2.81E-53,182,471,0.925690021231422,"<=>"
3953,"SCO2089","SYNPCC7942_RS07585",44.792,480,246,12,35,505,26,495,4.46E-99,304,506,0.948616600790514,"<=>"
3961,"SCO2092","SYNPCC7942_RS05005",40.789,304,153,4,2,305,16,292,1.71E-66,207,310,0.980645161290322,"<=>"
3962,"SCO2093","anL45",38.71,186,89,4,5,167,2,185,7.7E-36,119,167,1.11377245508982,"<=>"
3963,"SCO2094","SYNPCC7942_RS09530",48.805,293,150,0,12,304,16,308,6.93E-89,266,337,0.869436201780415,"<=>"
3978,"SCO2107","SYNPCC7942_RS12230",36.693,387,216,11,19,400,4,366,7.2E-54,179,401,0.965087281795511,"<=>"
3980,"SCO2108","SYNPCC7942_RS05425",37.879,66,41,0,1,66,5,70,7.06E-10,46.2,66,1,"<=>"
3981,"SCO2109","SYNPCC7942_RS02935",52.273,264,118,3,4,259,10,273,8.77E-81,241,264,1,"<=>"
3992,"SCO2118","SYNPCC7942_RS06885",44.207,328,182,1,1,327,1,328,1.74E-91,273,331,0.990936555891238,"<=>"
4018,"SCO2128","SYNPCC7942_RS06450",31.122,392,256,9,35,414,1,390,1.11E-44,156,424,0.924528301886792,"<=>"
4077,"SCO2151","SYNPCC7942_RS13265",36.318,201,120,3,5,205,3,195,8.72E-36,121,206,0.975728155339806,"<=>"
4086,"SCO2161","SYNPCC7942_RS04675",38.136,118,70,2,3,118,1,117,5.05E-17,67.8,118,1,"<=>"
4087,"SCO2162","SYNPCC7942_RS07410",33.333,360,184,16,38,393,11,318,1.87E-38,137,394,0.913705583756345,"<=>"
4088,"SCO2164","SYNPCC7942_RS09485",28.545,1065,690,26,4,1016,9,1054,2.43E-86,298,1041,1.02305475504323,"<=>"
4106,"SCO2168","SYNPCC7942_RS04110",32.895,228,139,2,2,229,10,223,1.95E-20,84,259,0.88030888030888,"<=>"
4118,"SCO2180","SYNPCC7942_RS06135",33.902,469,279,15,33,474,7,471,1.94E-67,220,486,0.965020576131687,"<=>"
4134,"SCO2190","SYNPCC7942_RS12585",36.577,298,183,3,76,369,2,297,2.37E-56,182,369,0.807588075880759,"<=>"
4137,"SCO2193","SYNPCC7942_RS11955",34.749,259,116,6,13,265,11,222,1.98E-38,131,265,0.977358490566038,"<=>"
4138,"SCO2194","SYNPCC7942_RS02760",41.577,279,155,3,26,301,4,277,2.28E-76,232,317,0.8801261829653,"<=>"
4140,"SCO2198","SYNPCC7942_RS10955",55.485,474,205,3,1,469,1,473,0,562,469,1.01066098081023,"<=>"
4183,"SCO2235","SYNPCC7942_RS06185",38.75,80,48,1,3,81,4,83,1.02E-12,54.7,87,0.919540229885058,"<=>"
4184,"SCO2236","SYNPCC7942_RS06180",53.012,83,39,0,2,84,3,85,1.38E-33,107,84,0.988095238095238,"<=>"
4185,"SCO2238","SYNPCC7942_RS00535",37.377,610,317,11,28,609,1,573,6.99E-112,343,613,0.99510603588907,"<=>"
4188,"SCO2241","SYNPCC7942_RS11670",35.747,442,260,10,14,450,10,432,5.78E-70,225,453,0.975717439293598,"<=>"
4198,"SCO2256","SYNPCC7942_RS12100",49.412,255,127,2,30,283,3,256,1.34E-74,226,291,0.876288659793814,"<=>"
4250,"SCO2267","SYNPCC7942_RS09425",39.32,206,121,3,3,207,4,206,5.06E-43,141,215,0.958139534883721,"<=>"
4251,"SCO2274","SYNPCC7942_RS13080",40.086,232,123,6,16,243,7,226,3.27E-37,129,280,0.828571428571429,"<=>"
4391,"SCO2318","SYNPCC7942_RS05065",27.907,430,226,18,22,431,1,366,2.43E-15,73.9,498,0.863453815261044,"<=>"
4485,"SCO2328","SYNPCC7942_RS02205",30.837,227,134,5,7,213,1,224,5.01E-26,97.4,218,1.04128440366972,"<=>"
4494,"SCO2338","SYNPCC7942_RS12710",30.102,196,130,2,13,205,14,205,1.85E-20,82.4,223,0.878923766816143,"<=>"
4500,"SCO2347","SYNPCC7942_RS10090",29.442,197,118,5,12,188,20,215,6.22E-09,50.1,193,1.02072538860104,"<=>"
4511,"SCO2369","SYNPCC7942_RS09855",42.105,152,86,1,1,152,1,150,2.28E-27,96.3,152,1,"<=>"
