PCC7942_PG_locus,PCC7942_NCBI-alias,PCC7942_alias,PCC7942_start,PCC7942_end,PCC7942_strand,gene_name,Annotation_description,Additional description,PCC7942_essentiality,PCC7942_regulatory_region_essentiality,PCC7942_uninterupted_upstream_length,cyano_conserved,greencut2_conserved,Notes on PG Annotation
SE_46,SYNPCC7942_RS00220,Synpcc7942_0044,41495,43477,Forward,,FAD dependent oxidoreductase,,non-essential,,,no,no,
SE_47,SYNPCC7942_RS00225,Synpcc7942_0045,43572,44927,Forward,,TPR repeat-containing protein,lipopolysaccharide heptosyltransferase and similar proteins;,non-essential,,,no,no,
SE_48,SYNPCC7942_RS00230,Synpcc7942_0046,45164,46507,Forward,,Methyltransferase domain-containing protein,lipopolysaccharide heptosyltransferase and similar proteins;,non-essential,,,no,no,
SE_49,SYNPCC7942_RS00235,Synpcc7942_0047,46515,48881,Forward,,TPR repeat-containing protein,,non-essential,,,no,no,
SE_50,SYNPCC7942_RS00240,Synpcc7942_0048,48927,49361,Reverse,pilA,type IV pilus assembly protein PilA,,not_analyzed,,,no,no,
SE_51,SYNPCC7942_RS00245,Synpcc7942_0049,49550,49984,Reverse,pilA,type IV pilus assembly protein PilA,,not_analyzed,,,no,no,
SE_52,SYNPCC7942_RS00250,Synpcc7942_0050,50070,52616,Forward,,Glycosyltransferase,likely involved in cell wall assembly,non-essential,,,no,no,
SE_53,SYNPCC7942_RS00255,Synpcc7942_0051,52606,54507,Reverse,,TPR repeat-containing protein,Predicted O-linked N-acetylglucosamine transferase,non-essential,,,no,no,
SE_54,SYNPCC7942_RS00260,Synpcc7942_0052,54512,55030,Reverse,,methyltransferase domain-containing protein,,non-essential,,,no,no,
SE_55,SYNPCC7942_RS00265,Synpcc7942_0053,55204,56352,Reverse,,glycosyltransferase family 2 protein,likely involved in cell wall assembly,non-essential,,,no,no,
SE_56,SYNPCC7942_RS00270,Synpcc7942_0054,56423,57190,Reverse,,cephalosporin hydroxylase,cephalosporin hydroxylase activity not experimentally verified,non-essential,,,no,no,
SE_57,SYNPCC7942_RS00275,Synpcc7942_0055,57223,57906,Reverse,,GNAT family N-acetyltransferase,,non-essential,,,no,no,
SE_58,SYNPCC7942_RS00280,Synpcc7942_0056,57941,59068,Reverse,rfbE,DegT/DnrJ/EryC1/StrS aminotransferase family protein,can be involved in cell wall assembly or in making streptomycin,non-essential,,,no,no,
SE_59,SYNPCC7942_RS00285,Synpcc7942_0057,59072,60304,Reverse,,Class I SAM-dependent methyltransferase,,non-essential,,,no,no,
SE_60,SYNPCC7942_RS00290,Synpcc7942_0058,60301,60846,Reverse,rfbC,"dTDP-4-dehydrorhamnose 3,5-epimerase",,non-essential,,,no,no,
SE_61,(SYNPCC7942_RS00295),Synpcc7942_0059,60867,61112,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_62,(SYNPCC7942_RS00300),Synpcc7942_0060,61091,61369,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_63,,Synpcc7942_0061,61366,62472,Reverse,rfbG,"CDP-glucose 4,6-dehydratase",,non-essential,,,no,no,
SE_64,,Synpcc7942_0062,62469,63242,Reverse,rfbF,glucose-1-phosphate cytidylyltransferase,,non-essential,,,no,no,
SE_65,SYNPCC7942_RS00315,Synpcc7942_0063,64266,64706,Reverse,,dual specificity protein phosphatase,,non-essential,,,no,no,
SE_66,SYNPCC7942_RS13650,Synpcc7942_0064,64703,64870,Reverse,,Protein of unknown function (DUF2887),,non-essential,,,no,no,"PCC 7942, UTEX 3055 annotation changed to reflect full ORF, PCC 6301 and UTEX 2973 annotations added based on consensus of cyanobacterial annotations; using evidence of BLAST results with conserved DUF"
SE_67,SYNPCC7942_RS00320,Synpcc7942_0065,64987,65541,Reverse,infC,bacterial translation initiation factor 3 (bIF-3),,essential,essential,116,yes,no,
SE_68,SYNPCC7942_RS00325,Synpcc7942_0066,65658,67172,Reverse,,"ABC-type uncharacterized transport system involved in gliding motility, auxiliary component",,non-essential,,,no,no,
SE_69,SYNPCC7942_RS00330,Synpcc7942_0067,67177,67986,Reverse,,ABC transporter permease,gliding motility-associated ABC transporter permease protein GldF,non-essential,,,no,no,
SE_70,SYNPCC7942_RS00335,Synpcc7942_0068,67991,68944,Reverse,,ATP-binding cassette domain-containing protein,,non-essential,,,no,no,
SE_71,SYNPCC7942_RS00340,Synpcc7942_0069,69079,69375,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_72,SYNPCC7942_RS00345,Synpcc7942_0070,69378,69938,Reverse,,hypothetical protein,PPOX class probable FMN-dependent enzyme; widespread in cyanobacteria,non-essential,,,no,yes,
SE_73,SYNPCC7942_RS00350,Synpcc7942_0071,69940,71139,Reverse,degT,DegT/DnrJ/EryC1/StrS family aminotransferase,,essential,non-essential,6,yes,no,
SE_74,SYNPCC7942_RS00355,Synpcc7942_0072,71307,71834,Reverse,,Protein of unknown function (DUF1997),,non-essential,,,no,no,"shifted all annotations based on BLAST conserved domain, RNAseq evidence, and RBS near this start codon"
SE_75,SYNPCC7942_RS00360,Synpcc7942_0073,72000,73196,Reverse,lytB,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,,essential,non-essential,27,yes,no,
SE_76,SYNPCC7942_RS00365,Synpcc7942_0074,73306,73659,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_77,SYNPCC7942_RS00370,Synpcc7942_0075,73775,75088,Forward,pepP,aminopeptidase P Metallo peptidase. MEROPS family M24B,,beneficial,,,no,no,
SE_78,SYNPCC7942_RS00375,Synpcc7942_0076,75091,75852,Forward,,"amino acid ABC transporter substrate-binding protein, PAAT family",,non-essential,,,no,no,
SE_79,SYNPCC7942_RS00380,Synpcc7942_0077,75928,76617,Forward,,"transcriptional regulator, XRE family",helix-turn-helix motif; many antitoxins,non-essential,,,no,no,
SE_80,SYNPCC7942_RS00385,Synpcc7942_0078,76614,77063,Reverse,,secondary thiamine-phosphate synthase enzyme,,non-essential,,,no,no,
SE_81,SYNPCC7942_RS00390,Synpcc7942_0079,77138,77584,Reverse,ycf41,Single-stranded DNA-binding protein,,essential,non-essential,32,no,no,
SE_82,SYNPCC7942_RS00395,Synpcc7942_0080,77648,78871,Reverse,,putative ABC transport system permease protein,,non-essential,,,no,no,
SE_83,SYNPCC7942_RS00400,Synpcc7942_0081,78987,79196,Reverse,,ribosome-associated protein,,non-essential,,,no,no,
SE_84,SYNPCC7942_RS00405,Synpcc7942_0082,79265,81013,Forward,mdlB,"ATP-binding cassette, subfamily B",,essential,non-essential,9,yes,no,
SE_85,SYNPCC7942_RS00410,Synpcc7942_0083,81023,81220,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_86,SYNPCC7942_RS00415,Synpcc7942_0084,81217,81918,Forward,,ATP-dependent Zn protease,FtsH protein family; FtsH is involved in cell division,non-essential,,,no,yes,
SE_87,SYNPCC7942_RS00420,Synpcc7942_0085,82179,82865,Reverse,,"haloacid dehalogenase superfamily, subfamily IA,variant 3 with third motif having DD or ED",,non-essential,,,no,no,
SE_88,SYNPCC7942_RS00425,Synpcc7942_0086,82871,84955,Reverse,glgX,isoamylase,,non-essential,,,no,yes,
SE_89,SYNPCC7942_RS00430,Synpcc7942_0087,84964,86475,Reverse,,site-2 protease family protein,,non-essential,,,no,no,
SE_90,SYNPCC7942_RS00435,Synpcc7942_0088,86547,87269,Forward,,metallo-beta-lactamase,,non-essential,,,no,no,
SE_91,SYNPCC7942_RS00440,,87494,87688,Forward,,hypothetical protein,,,,,,,
SE_92,SYNPCC7942_RS00445,Synpcc7942_R0025,87725,87796,Reverse,,tRNA-Asn,,,essential,42,,,
SE_93,SYNPCC7942_RS00450,Synpcc7942_0089,87881,88615,Reverse,clcD,carboxymethylenebutenolidase,,non-essential,,,no,yes,
SE_94,SYNPCC7942_RS00455,Synpcc7942_0090,88735,89718,Forward,,GntR family transcriptional regulator,,essential,non-essential,10,yes,no,
SE_95,SYNPCC7942_RS00460,Synpcc7942_0091,89715,90326,Reverse,ycf21,DUF98 domain-containing protein,,essential,non-essential,38,no,no,
SE_96,SYNPCC7942_RS00465,Synpcc7942_0092,90583,90930,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_97,SYNPCC7942_RS00470,Synpcc7942_0093,91029,91676,Forward,tmk,thymidylate kinase,,essential,non-essential,0,yes,no,
SE_98,SYNPCC7942_RS00475,Synpcc7942_0094,91676,92611,Forward,dnaX,DNA polymerase III subunit delta',,essential,non-essential,0,yes,no,
SE_99,SYNPCC7942_RS00480,Synpcc7942_0095,92590,93339,Reverse,rpaA,"two component transcriptional regulator, winged helix family",,non-essential,,,yes,no,
SE_100,SYNPCC7942_RS00485,Synpcc7942_Crm,93541,93729,Reverse,,Circadian rhythmicity modulator,,,,,,,UTEX 3055 annotation added to reflect consensus of cyanobacteria annotations (Crm protein-citation)
SE_101,SYNPCC7942_RS00490,Synpcc7942_0096,93764,94285,Reverse,,membrane protein,,non-essential,,,no,no,
SE_102,SYNPCC7942_RS00495,Synpcc7942_0097,94375,98166,Reverse,cobN,cobalamin biosynthesis protein CobN,,essential,non-essential,11,yes,no,
SE_103,SYNPCC7942_RS00500,Synpcc7942_0098,98302,100086,Reverse,pyk2,pyruvate kinase,,essential,essential,48,yes,no,
SE_104,SYNPCC7942_RS00505,Synpcc7942_0099,100202,100531,Forward,,nucleoside triphosphate pyrophosphohydrolase family protein,,non-essential,,,no,no,
SE_105,SYNPCC7942_RS00510,Synpcc7942_0100,100528,101082,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_106,SYNPCC7942_RS00515,Synpcc7942_0101,101259,102593,Forward,ndbA,NAD(P)/FAD-dependent oxidoreductase,,essential,non-essential,25,no,no,
SE_107,SYNPCC7942_RS00520,Synpcc7942_0102,102674,103237,Forward,,"Endonuclease, Uma2 family (restriction endonuclease fold)",,non-essential,,,no,no,
SE_108,SYNPCC7942_RS00525,Synpcc7942_0103,103268,103642,Reverse,,ankyrin-repeat containing protein,protein-protein interactions; signal transduction,non-essential,,,no,yes,
SE_109,SYNPCC7942_RS00530,Synpcc7942_0104,103632,104456,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_110,SYNPCC7942_RS00535,Synpcc7942_0105,104653,106377,Reverse,nadE,NH(3)-dependent NAD( ) synthetase,,essential,non-essential,4,yes,no,
SE_111,SYNPCC7942_RS00540,Synpcc7942_0106,106374,106952,Reverse,nadD,nicotinate-nucleotide adenylyltransferase,,beneficial,,,no,no,
SE_112,SYNPCC7942_RS00545,Synpcc7942_0107,106965,108383,Reverse,,DUF697 domain-containing protein,,essential,non-essential,19,no,no,
SE_113,SYNPCC7942_RS00550,Synpcc7942_0108,108556,108816,Forward,,partitioning protein ParB,,non-essential,,,no,no,
SE_114,SYNPCC7942_RS00555,Synpcc7942_0109,108877,109383,Forward,,ferritin,DNA starvation/stationary phase protection protein,non-essential,,,no,no,
SE_115,SYNPCC7942_RS00560,Synpcc7942_0110,109390,109947,Forward,,XRE family transcriptional regulator,,non-essential,,,no,no,
SE_116,SYNPCC7942_RS00565,Synpcc7942_0111,110012,111607,Forward,dnaK,molecular chaperone DnaK,,non-essential,,,yes,no,
SE_117,SYNPCC7942_RS00570,Synpcc7942_0112,111686,113140,Forward,phr,deoxyribodipyrimidine photolyase,,non-essential,,,no,no,
SE_118,SYNPCC7942_RS00575,Synpcc7942_0113,113196,113288,Forward,petL,cytochrome B6,,non-essential,,,no,no,
SE_119,SYNPCC7942_RS00580,Synpcc7942_0114,113327,113698,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_120,SYNPCC7942_RS13655,Synpcc7942_0115,113631,114146,Reverse,,hypothetical protein,cell wall/membrane/envelope biogenesis,non-essential,,,no,no,
SE_121,SYNPCC7942_RS00585,Synpcc7942_0116,114299,115273,Forward,cscK,fructokinase,,non-essential,,,yes,no,
SE_122,SYNPCC7942_RS13660,Synpcc7942_0117,115391,116722,Forward,,hypothetical protein,,non-essential,,,no,no,PCC 6301 and UTEX 2973 annotations added; evidence from O'shea transcript_747
SE_123,SYNPCC7942_RS00590,Synpcc7942_0118,116943,118427,Forward,gatB,aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferasesubunit B,,essential,non-essential,32,yes,no,
SE_124,SYNPCC7942_RS00595,,118503,118793,Forward,,hypothetical protein,,,,,,,"UTEX 2973 annotation added to reflect consensus of cyanobacteria annotations, using transcription evidence from PCC 7942 RNAseq data"
SE_125,SYNPCC7942_RS00600,Synpcc7942_0119,118735,119292,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_126,SYNPCC7942_RS00605,Synpcc7942_0120,119508,119993,Reverse,,tRNA(Arg) A34 adenosine deaminase TadA,,non-essential,,,no,no,
SE_127,SYNPCC7942_RS00610,Synpcc7942_0121,120013,121239,Reverse,,hypothetical protein,"conserved domain restricted to Cyanobacteria, similarity to lipid-A disaccharide synthase",essential,non-essential,14,no,no,
SE_128,SYNPCC7942_RS00615,Synpcc7942_R0026,121282,121352,Forward,,tRNA-Cys,,,non-essential,27,,,
SE_129,SYNPCC7942_RS00620,Synpcc7942_0122,121831,123408,Reverse,,EAL domain-containing protein,,non-essential,,,no,no,
SE_130,SYNPCC7942_RS00625,Synpcc7942_R0027,123940,124013,Forward,,tRNA-Cys,,,,,,,
SE_131,SYNPCC7942_RS00630,Synpcc7942_0124,124070,124669,Reverse,,Thiopurine S-methyltransferase (TPMT),,non-essential,,,no,no,
SE_132,SYNPCC7942_RS00635,Synpcc7942_0125,124738,125367,Reverse,hisB,imidazoleglycerol-phosphate dehydratase,,essential,non-essential,4,yes,no,
SE_133,SYNPCC7942_RS00640,Synpcc7942_0126,125382,126158,Reverse,envM,Enoyl-[acyl-carrier-protein] reductase [NADH],,essential,non-essential,37,yes,no,
SE_134,SYNPCC7942_RS00645,Synpcc7942_0127,126390,127058,Forward,ntcA,"transcriptional regulator, Crp/Fnr family",,essential,non-essential,10,yes,no,
SE_135,SYNPCC7942_RS00650,Synpcc7942_0128,127151,128449,Forward,,DUF3084 domain-containing protein,Chromosome associated proteins,beneficial,,,yes,no,
SE_136,SYNPCC7942_RS00655,Synpcc7942_0129,128446,128877,Forward,,"RNase H-fold protein, predicted Holliday junction resolvase",,beneficial,,,yes,no,
SE_137,SYNPCC7942_RS00660,Synpcc7942_0130,128822,129409,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_138,SYNPCC7942_RS00665,Synpcc7942_0131,129670,132495,Reverse,,Cyclic nucleotide-binding domain-containing protein,,non-essential,,,no,no,
SE_139,SYNPCC7942_RS00670,Synpcc7942_0132,132721,133770,Reverse,,NAD(P)-binding protein,amine oxidase,non-essential,,,no,no,
SE_140,SYNPCC7942_RS00675,Synpcc7942_0133,133915,134754,Forward,,hypothetical protein,ubiquinone cytochrome C chaperone superfamily,non-essential,,,no,no,
SE_141,SYNPCC7942_RS00680,Synpcc7942_0134,134745,136052,Forward,,O-antigen ligase family protein,,essential,non-essential,0,no,no,
SE_142,SYNPCC7942_RS00685,Synpcc7942_0135,136016,136651,Reverse,rapQ,"demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase",,non-essential,,,no,no,
SE_143,SYNPCC7942_RS00690,Synpcc7942_0136,136706,138013,Reverse,,integrase,Phage integrase family; site-specific integrase,non-essential,,,no,no,
SE_144,SYNPCC7942_RS00695,Synpcc7942_0137,138115,139278,Forward,hemH,ferrochelatase,,essential,non-essential,31,yes,no,
SE_145,SYNPCC7942_RS00700,Synpcc7942_0138,139416,140018,Forward,,Peptidase family M23,,non-essential,,,no,no,
SE_146,SYNPCC7942_RS00705,Synpcc7942_0139,140268,142106,Forward,ilvB,acetolactate synthase catalytic subunit,,essential,non-essential,33,yes,no,
SE_147,SYNPCC7942_RS00710,Synpcc7942_0140,142233,142631,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_148,SYNPCC7942_RS00715,Synpcc7942_0141,142618,143562,Reverse,secF,preprotein translocase subunit SecF,,essential,non-essential,8,yes,no,
SE_149,SYNPCC7942_RS00720,Synpcc7942_0142,143572,144966,Reverse,secD,preprotein translocase subunit SecD,,essential,non-essential,4,yes,no,
SE_150,SYNPCC7942_RS00725,Synpcc7942_0143,145003,145983,Reverse,pdhB,pyruvate/2-oxoglutarate dehydrogese complex dehydrogese (E1) component,,essential,essential,76,no,no,
SE_151,SYNPCC7942_RS00730,Synpcc7942_0144,146268,146720,Forward,,DUF4281 domain-containing protein,similar to Arabidopsis protein required for neoxanthin biosynthesis,non-essential,,,no,yes,
SE_152,SYNPCC7942_RS00735,Synpcc7942_0145,146717,147040,Reverse,, DUF3082 domain-containing protein,,ambiguous,,,no,no,
SE_153,SYNPCC7942_RS00740,Synpcc7942_0146,147160,147855,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_154,SYNPCC7942_RS00745,Synpcc7942_0147,148159,148491,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_155,SYNPCC7942_RS00750,Synpcc7942_0148,148646,150190,Forward,,AAA family ATPase,Aminoglycoside phosphotransferase family enzyme,beneficial,,,no,no,
SE_156,SYNPCC7942_RS00755,Synpcc7942_0149,150187,150744,Reverse,,methylated-DNA--[protein]-cysteine S-methyltransferase,,non-essential,,,no,no,
SE_157,SYNPCC7942_RS00760,Synpcc7942_0150,150752,151918,Reverse,,dolichyl-phosphate beta-D-mannosyltransferase,Cell wall/membrane/envelope biogenesis,beneficial,,,no,no,
SE_158,SYNPCC7942_RS00765,Synpcc7942_0151,152527,154917,Forward,psfR,response regulator receiver modulated diguanylate cyclase,,non-essential,,,no,no,
SE_159,(SYNPCC7942_RS00770),Synpcc7942_0152,154914,156011,Reverse,mraY,phospho-N-acetylmuramoyl-pentapeptide- transferase,,essential,non-essential,2,yes,no,UTEX 3055 annotation changed to reflect consensus of cyanobacteria annotations
SE_160,SYNPCC7942_RS00775,Synpcc7942_0153,156026,156307,Reverse,,DUF3134 domain-containing protein,family of proteins restricted to cyanobacteria,essential,non-essential,24,no,no,
SE_161,SYNPCC7942_RS00780,Synpcc7942_0154,156340,156957,Forward,,fibrillin,found in plastid lipid-associated proteins,non-essential,,,no,yes,
SE_162,SYNPCC7942_RS00785,Synpcc7942_0155,156954,157184,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_163,SYNPCC7942_RS00790,Synpcc7942_0156,157210,158841,Reverse,,phosphoglucomutase,,beneficial,,,no,no,
SE_164,SYNPCC7942_RS00795,Synpcc7942_0157,159042,159560,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_165,SYNPCC7942_RS00800,Synpcc7942_0158,159996,161171,Reverse,moeB,molybdopterin-synthase adenylyltransferase MoeB,cofactor biosynthesis; ubiquitin ligase,essential,non-essential,0,yes,no,
SE_166,SYNPCC7942_RS00805,Synpcc7942_0159,161198,161632,Reverse,,M67 family metallopeptidase,similar to isopeptidases that release ubiquitin from ubiquitinated proteins,non-essential,,,no,no,
SE_167,SYNPCC7942_RS00810,Synpcc7942_0160,161726,162661,Forward,era,GTPase Era,,essential,non-essential,3,yes,no,
SE_168,SYNPCC7942_RS00815,Synpcc7942_0161,162764,163306,Forward,,phycobiliprotein lyase ,,essential,non-essential,2,no,no,
SE_169,SYNPCC7942_RS00820,Synpcc7942_0162,163405,163755,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_170,SYNPCC7942_RS00825,Synpcc7942_0163,163761,164510,Forward,,class I SAM-dependent methyltransferase,,non-essential,,,no,no,
SE_171,SYNPCC7942_RS00830,Synpcc7942_0164,164548,164967,Forward,,iojap-like ribosome-associated protein,,non-essential,,,yes,no,
SE_172,SYNPCC7942_RS00835,Synpcc7942_0165,164986,165486,Forward,ycf36,CGLD27 family protein,similar to Arabidopsis chloroplast protein greencut conserved gene required for growth in low iron conditions,non-essential,,,no,yes,
SE_173,SYNPCC7942_RS00840,Synpcc7942_0166,165483,166436,Forward,,asparaginase,,beneficial,,,yes,no,
SE_174,SYNPCC7942_RS00845,Synpcc7942_R0028,166532,166608,Forward,,tRNA-Met,,,essential,46,,,
SE_175,SYNPCC7942_RS00850,Synpcc7942_0167,166695,166925,Reverse,,hypothetical protein,found in periplasmic ligand-binding sensor proteins,non-essential,,,no,no,
SE_176,SYNPCC7942_RS00855,Synpcc7942_0168,167065,167748,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_177,SYNPCC7942_RS00860,Synpcc7942_0169,168176,170347,Forward,glnN,glutamine synthetase,,non-essential,,,no,no,
