,new_locus_tag,old_locus_tag,start,end,strand,ncbi_gene_name,gene_name,biocyc_gene_name,Deutschbauer_gene,gene_product_old,gene_product,Deutschbauer_product,KEGG_ko
24,SYNPCC7942_RS00125,Synpcc7942_0024,24181,25371,-,SYNPCC7942_RS00125,SYNPCC7942_0024,SYNPCC7942_0024,,DUF4336 domain-containing protein,conserved hypothetical protein,SYNPCC7942_RS00125,
25,SYNPCC7942_RS00130,,25416,27122,+,SYNPCC7942_RS00130,SYNPCC7942_RS00130,SYNPCC7942_RS00130,,alpha/beta hydrolase,SYNPCC7942_RS00130,SYNPCC7942_RS00130,
26,SYNPCC7942_RS00135,Synpcc7942_0026,27082,28059,-,SYNPCC7942_RS00135,SYNPCC7942_0026,SYNPCC7942_0026,,aldo/keto reductase,conserved hypothetical protein,SYNPCC7942_RS00135,
27,SYNPCC7942_RS00140,Synpcc7942_0027,28184,29350,+,SYNPCC7942_RS00140,bioF,bioF,bioF,8-amino-7-oxononanoate synthase,8-amino-7-oxononanoate synthase,8-amino-7-oxononanoate synthase,K00652
28,SYNPCC7942_RS00145,Synpcc7942_0028,29347,30015,+,SYNPCC7942_RS00145,SYNPCC7942_0028,SYNPCC7942_0028,SYNPCC7942_RS00145,alpha/beta hydrolase,conserved hypothetical protein,SYNPCC7942_RS00145,K19560
29,SYNPCC7942_RS00150,Synpcc7942_0029,30012,30833,+,SYNPCC7942_RS00150,bioC,bioC,,methyltransferase domain-containing protein,BioC biotin biosynthesis protein,hypothetical protein,K02169
30,SYNPCC7942_RS00155,Synpcc7942_0030,30839,31471,+,SYNPCC7942_RS00155,bioD,bioD,bioD,dethiobiotin synthase,dethiobiotin synthase,dethiobiotin synthase,K01935
31,SYNPCC7942_RS00160,Synpcc7942_0031,31464,32738,+,SYNPCC7942_RS00160,bioA,bioA,bioA,adenosylmethionine--8-amino-7-oxononanoate transaminase,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,aminotransferase,K00833
32,SYNPCC7942_RS00165,Synpcc7942_0032,32849,33202,-,SYNPCC7942_RS00165,SYNPCC7942_0032,SYNPCC7942_0032,,DUF86 domain-containing protein,conserved hypothetical protein,SYNPCC7942_RS00165,
33,SYNPCC7942_RS13645,Synpcc7942_0033,33174,33506,-,SYNPCC7942_RS13645,SYNPCC7942_RS13645,SYNPCC7942_RS13645,,nucleotidyltransferase family protein,SYNPCC7942_RS13645,SYNPCC7942_RS13645,K07075
34,SYNPCC7942_RS00170,,33960,34289,+,SYNPCC7942_RS00170,SYNPCC7942_RS00170,SYNPCC7942_RS00170,,hypothetical protein,SYNPCC7942_RS00170,SYNPCC7942_RS00170,
35,SYNPCC7942_RS00175,Synpcc7942_0035,34357,35115,-,SYNPCC7942_RS00175,SYNPCC7942_0035,SYNPCC7942_0035,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS00175,
36,SYNPCC7942_RS00180,,35341,36126,+,SYNPCC7942_RS00180,SYNPCC7942_RS00180,SYNPCC7942_RS00180,,hypothetical protein,SYNPCC7942_RS00180,SYNPCC7942_RS00180,
37,SYNPCC7942_RS00185,Synpcc7942_0037,36123,36326,-,SYNPCC7942_RS00185,SYNPCC7942_0037,SYNPCC7942_0037,,hypothetical protein,hypothetical protein,SYNPCC7942_RS00185,
38,SYNPCC7942_RS00190,Synpcc7942_0038,36479,36955,+,SYNPCC7942_RS00190,mutT,mutT,,NUDIX domain-containing protein,mutator MutT protein,SYNPCC7942_RS00190,
39,SYNPCC7942_RS00195,Synpcc7942_0039,37130,38545,+,gndA,gnd,gnd,,NADP-dependent phosphogluconate dehydrogenase,"6-phosphogluconate dehydrogenase, decarboxylating",SYNPCC7942_RS00195,K00033
40,SYNPCC7942_RS00200,Synpcc7942_0040,38630,39007,+,SYNPCC7942_RS00200,folB,folB,folB,dihydroneopterin aldolase,dihydroneopterin aldolase,dihydroneopterin aldolase Dihydroneopterin aldolase,K01633
41,SYNPCC7942_RS00205,Synpcc7942_0041,39441,40745,+,SYNPCC7942_RS00205,SYNPCC7942_0041,SYNPCC7942_0041,,transporter,probable transport protein,SYNPCC7942_RS00205,
42,SYNPCC7942_RS00210,Synpcc7942_0042,40855,41091,-,SYNPCC7942_RS00210,rpmB,rpmB,,50S ribosomal protein L28,50S ribosomal subunit protein L28,SYNPCC7942_RS00210,K02902
43,SYNPCC7942_RS00215,Synpcc7942_0043,41131,41496,-,SYNPCC7942_RS00215,SYNPCC7942_0043,SYNPCC7942_0043,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS00215,
44,SYNPCC7942_RS00220,Synpcc7942_0044,41495,43477,+,SYNPCC7942_RS00220,SYNPCC7942_0044,SYNPCC7942_0044,,FAD-dependent oxidoreductase,conserved hypothetical protein,SYNPCC7942_RS00220,
45,SYNPCC7942_RS00225,Synpcc7942_0045,43572,44927,+,SYNPCC7942_RS00225,SYNPCC7942_0045,SYNPCC7942_0045,,tetratricopeptide repeat protein,TPR repeat,SYNPCC7942_RS00225,
46,SYNPCC7942_RS00230,Synpcc7942_0046,45164,46507,+,SYNPCC7942_RS00230,SYNPCC7942_0046,SYNPCC7942_0046,,methyltransferase domain-containing protein,methylase involved in ubiquinone/menaquinone biosynthesis,SYNPCC7942_RS00230,
47,SYNPCC7942_RS00235,Synpcc7942_0047,46515,48881,+,SYNPCC7942_RS00235,SYNPCC7942_0047,SYNPCC7942_0047,,tetratricopeptide repeat protein,TPR repeat,SYNPCC7942_RS00235,
48,SYNPCC7942_RS00240,,48927,49361,-,SYNPCC7942_RS00240,SYNPCC7942_RS00240,SYNPCC7942_RS00240,,prepilin-type N-terminal cleavage/methylation domain-containing protein,SYNPCC7942_RS00240,SYNPCC7942_RS00240,K02650
49,SYNPCC7942_RS00245,,49550,49984,-,SYNPCC7942_RS00245,SYNPCC7942_RS00245,SYNPCC7942_RS00245,,prepilin-type N-terminal cleavage/methylation domain-containing protein,SYNPCC7942_RS00245,SYNPCC7942_RS00245,K02650
50,SYNPCC7942_RS00250,Synpcc7942_0050,50070,52616,+,SYNPCC7942_RS00250,SYNPCC7942_0050,SYNPCC7942_0050,,glycosyltransferase,conserved hypothetical protein,SYNPCC7942_RS00250,
51,SYNPCC7942_RS00255,Synpcc7942_0051,52606,54507,-,SYNPCC7942_RS00255,SYNPCC7942_0051,SYNPCC7942_0051,,hypothetical protein,TPR repeat,SYNPCC7942_RS00255,
52,SYNPCC7942_RS00260,Synpcc7942_0052,54512,55030,-,SYNPCC7942_RS00260,SYNPCC7942_0052,SYNPCC7942_0052,,methyltransferase domain-containing protein,conserved hypothetical protein,SYNPCC7942_RS00260,
53,SYNPCC7942_RS00265,Synpcc7942_0053,55204,56352,-,SYNPCC7942_RS00265,SYNPCC7942_0053,SYNPCC7942_0053,,glycosyltransferase family 2 protein,conserved hypothetical protein,SYNPCC7942_RS00265,
54,SYNPCC7942_RS00270,Synpcc7942_0054,56423,57190,-,SYNPCC7942_RS00270,SYNPCC7942_0054,SYNPCC7942_0054,,cephalosporin hydroxylase,conserved hypothetical protein,SYNPCC7942_RS00270,
55,SYNPCC7942_RS00275,Synpcc7942_0055,57223,57906,-,SYNPCC7942_RS00275,SYNPCC7942_0055,SYNPCC7942_0055,,GNAT family N-acetyltransferase,hypothetical protein,SYNPCC7942_RS00275,
56,SYNPCC7942_RS00280,Synpcc7942_0056,57941,59068,-,SYNPCC7942_RS00280,rfbE,rfbE,,DegT/DnrJ/EryC1/StrS aminotransferase family protein,perosamine synthetase,SYNPCC7942_RS00280,"K12452,ko:K13010"
57,SYNPCC7942_RS00285,Synpcc7942_0057,59072,60304,-,SYNPCC7942_RS00285,SYNPCC7942_0057,SYNPCC7942_0057,,class I SAM-dependent methyltransferase,putative C-3 methyl transferase,SYNPCC7942_RS00285,
58,SYNPCC7942_RS00290,Synpcc7942_0058,60301,60846,-,rfbC,rfbC1,rfbC1,,dTDP-4-dehydrorhamnose 3%2C5-epimerase,"dTDP-4-dehydrorhamnose 3,5-epimerase",SYNPCC7942_RS00290,K01790
59,SYNPCC7942_RS00295,Synpcc7942_0059,60867,61112,-,SYNPCC7942_RS00295,SYNPCC7942_0059,SYNPCC7942_0059,,hypothetical protein,hypothetical protein,SYNPCC7942_RS00295,
60,SYNPCC7942_RS00300,Synpcc7942_0060,61091,61360,-,SYNPCC7942_RS00300,SYNPCC7942_0060,SYNPCC7942_0060,,hypothetical protein,hypothetical protein,SYNPCC7942_RS00300,
61,SYNPCC7942_RS00305,Synpcc7942_0061,61366,62472,-,rfbG,rfbG,rfbG,,CDP-glucose 4%2C6-dehydratase,"CDP-glucose 4,6-dehydratase",SYNPCC7942_RS00305,K01709
62,SYNPCC7942_RS00310,Synpcc7942_0062,62469,63242,-,rfbF,rfbF,rfbF,,glucose-1-phosphate cytidylyltransferase,glucose-1-phosphate cytidylyltransferase,SYNPCC7942_RS00310,K00978
63,SYNPCC7942_RS00315,Synpcc7942_0063,64266,64706,-,SYNPCC7942_RS00315,SYNPCC7942_0063,SYNPCC7942_0063,,dual specificity protein phosphatase family protein,dual specificity protein phosphatase,SYNPCC7942_RS00315,
64,SYNPCC7942_RS13650,,64754,64870,-,SYNPCC7942_RS13650,SYNPCC7942_RS13650,SYNPCC7942_RS13650,,DUF2887 domain-containing protein,SYNPCC7942_RS13650,SYNPCC7942_RS13650,
65,SYNPCC7942_RS00320,Synpcc7942_0065,64987,65541,-,SYNPCC7942_RS00320,infC,infC,infC,translation initiation factor IF-3,translation initiation factor IF-3,translation initiation factor IF-3,K02520
66,SYNPCC7942_RS00325,Synpcc7942_0066,65658,67172,-,SYNPCC7942_RS00325,SYNPCC7942_0066,SYNPCC7942_0066,,hypothetical protein,"ABC type transporter, putative component",SYNPCC7942_RS00325,
67,SYNPCC7942_RS00330,Synpcc7942_0067,67177,67986,-,SYNPCC7942_RS00330,SYNPCC7942_0067,SYNPCC7942_0067,,ABC transporter permease subunit,"ABC type transporter, permease component",SYNPCC7942_RS00330,K01992
68,SYNPCC7942_RS00335,Synpcc7942_0068,67991,68944,-,SYNPCC7942_RS00335,SYNPCC7942_0068,SYNPCC7942_0068,,ABC transporter ATP-binding protein,"ABC type transporter, ATPase component",SYNPCC7942_RS00335,K01990
69,SYNPCC7942_RS00340,Synpcc7942_0069,69079,69375,+,SYNPCC7942_RS00340,SYNPCC7942_0069,SYNPCC7942_0069,,hypothetical protein,hypothetical protein,SYNPCC7942_RS00340,
70,SYNPCC7942_RS00345,Synpcc7942_0070,69378,69938,-,SYNPCC7942_RS00345,SYNPCC7942_0070,SYNPCC7942_0070,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS00345,K00275
71,SYNPCC7942_RS00350,Synpcc7942_0071,69940,71139,-,SYNPCC7942_RS00350,degT,degT,degT,DegT/DnrJ/EryC1/StrS family aminotransferase,pleiotropic regulatory protein-like,pleiotropic regulatory protein-like,
72,SYNPCC7942_RS00355,Synpcc7942_0072,71307,71960,-,SYNPCC7942_RS00355,SYNPCC7942_0072,SYNPCC7942_0072,,DUF1997 domain-containing protein,conserved hypothetical protein,SYNPCC7942_RS00355,
73,SYNPCC7942_RS00360,Synpcc7942_0073,72000,73196,-,SYNPCC7942_RS00360,ispH,ispH,lytB,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,hydroxymethylbutenyl pyrophosphate reductase,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,K03527
74,SYNPCC7942_RS00365,Synpcc7942_0074,73306,73659,-,SYNPCC7942_RS00365,SYNPCC7942_0074,SYNPCC7942_0074,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS00365,
75,SYNPCC7942_RS00370,Synpcc7942_0075,73775,75088,+,SYNPCC7942_RS00370,pepP,pepP,,M24 family metallopeptidase,aminopeptidase P,SYNPCC7942_RS00370,K01262
76,SYNPCC7942_RS00375,Synpcc7942_0076,75091,75852,+,SYNPCC7942_RS00375,SYNPCC7942_0076,SYNPCC7942_0076,,transporter substrate-binding domain-containing protein,"extracellular solute-binding protein, family 3",SYNPCC7942_RS00375,K02030
77,SYNPCC7942_RS00380,Synpcc7942_0077,75928,76617,+,SYNPCC7942_RS00380,SYNPCC7942_0077,SYNPCC7942_0077,,helix-turn-helix domain-containing protein,"transcriptional regulator, XRE family",SYNPCC7942_RS00380,
78,SYNPCC7942_RS00385,Synpcc7942_0078,76614,77063,-,SYNPCC7942_RS00385,SYNPCC7942_0078,SYNPCC7942_0078,,YjbQ family protein,Protein of unknown function UPF0047,SYNPCC7942_RS00385,
79,SYNPCC7942_RS00390,Synpcc7942_0079,77138,77584,-,SYNPCC7942_RS00390,ycf41,SYNPCC7942_0079,ycf41,single-stranded DNA-binding protein,conserved hypothetical protein YCF41,conserved hypothetical protein YCF41,
80,SYNPCC7942_RS00395,Synpcc7942_0080,77648,78871,-,SYNPCC7942_RS00395,SYNPCC7942_0080,SYNPCC7942_0080,,FtsX-like permease family protein,probable ABC transporter permease protein,SYNPCC7942_RS00395,K02004
81,SYNPCC7942_RS00400,Synpcc7942_0081,78987,79196,-,SYNPCC7942_RS00400,SYNPCC7942_0081,SYNPCC7942_0081,,RNA-binding S4 domain-containing protein,RNA-binding S4,SYNPCC7942_RS00400,K14761
82,SYNPCC7942_RS00405,Synpcc7942_0082,79232,81013,+,SYNPCC7942_RS00405,mdlB,SYNPCC7942_0082,mdlB,ATP-binding cassette domain-containing protein,ATPase,ATPase,K06147
83,SYNPCC7942_RS00410,Synpcc7942_0083,81023,81220,+,SYNPCC7942_RS00410,SYNPCC7942_0083,SYNPCC7942_0083,,hypothetical protein,hypothetical protein,SYNPCC7942_RS00410,
84,SYNPCC7942_RS00415,Synpcc7942_0084,81217,81918,+,SYNPCC7942_RS00415,SYNPCC7942_0084,SYNPCC7942_0084,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS00415,
85,SYNPCC7942_RS00420,Synpcc7942_0085,82179,82865,-,SYNPCC7942_RS00420,SYNPCC7942_0085,SYNPCC7942_0085,,HAD family phosphatase,"HAD-superfamily hydrolase subfamily IA, variant 3",SYNPCC7942_RS00420,
86,SYNPCC7942_RS00425,Synpcc7942_0086,82871,84955,-,glgX,glgX,glgX,,glycogen debranching protein GlgX,glycogen debranching enzyme,SYNPCC7942_RS00425,K01214
87,SYNPCC7942_RS00430,Synpcc7942_0087,84964,86475,-,SYNPCC7942_RS00430,SYNPCC7942_0087,SYNPCC7942_0087,,site-2 protease family protein,conserved hypothetical protein,SYNPCC7942_RS00430,
88,SYNPCC7942_RS00435,Synpcc7942_0088,86547,87269,+,SYNPCC7942_RS00435,SYNPCC7942_0088,SYNPCC7942_0088,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS00435,
89,SYNPCC7942_RS00440,,87494,87688,+,SYNPCC7942_RS00440,SYNPCC7942_RS00440,SYNPCC7942_RS00440,,hypothetical protein,SYNPCC7942_RS00440,SYNPCC7942_RS00440,
90,SYNPCC7942_RS00450,Synpcc7942_0089,87881,88615,-,SYNPCC7942_RS00450,clcD1,clcD1,,carboxymethylenebutenolidase,Carboxymethylenebutenolidase,SYNPCC7942_RS00450,K01061
91,SYNPCC7942_RS00455,Synpcc7942_0090,88735,89718,+,SYNPCC7942_RS00455,gntR,gntR,,GntR family transcriptional regulator,"transcriptional regulator, GntR family","transcriptional regulator, GntR family",K07978
92,SYNPCC7942_RS00460,Synpcc7942_0091,89715,90326,-,SYNPCC7942_RS00460,ubiC,ubiC,ycf21,DUF98 domain-containing protein,chorismate lyase,conserved hypothetical protein YCF21,K03181
93,SYNPCC7942_RS00465,Synpcc7942_0092,90583,90930,-,SYNPCC7942_RS00465,SYNPCC7942_0092,SYNPCC7942_0092,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS00465,
94,SYNPCC7942_RS00470,Synpcc7942_0093,91029,91676,+,tmk,tmk,tmk,tmk,dTMP kinase,Thymidylate kinase,Thymidylate kinase,K00943
95,SYNPCC7942_RS00475,Synpcc7942_0094,91676,92611,+,SYNPCC7942_RS00475,holB,holB,dnaX,DNA polymerase III subunit delta',"DNA polymerase III, delta prime subunit",DNA polymerase III subunit delta',K02341
96,SYNPCC7942_RS00480,Synpcc7942_0095,92590,93339,-,SYNPCC7942_RS00480,rpaA,rpaA,,response regulator transcription factor,Rpa-P RpaA response regulator,SYNPCC7942_RS00480,K10697
97,SYNPCC7942_RS00490,Synpcc7942_0096,93764,94285,-,SYNPCC7942_RS00490,SYNPCC7942_0096,SYNPCC7942_0096,,DUF1269 domain-containing protein,conserved hypothetical protein,SYNPCC7942_RS00490,
98,SYNPCC7942_RS00495,Synpcc7942_0097,94375,98166,-,cobN,cobN,cobN,cobN,cobaltochelatase subunit CobN,"Cobaltochelatase, CobN subunit",cobaltochelatase,K02230
99,SYNPCC7942_RS00500,Synpcc7942_0098,98302,100086,-,pyk,pyk,pyk,pyk2,pyruvate kinase,pyruvate kinase,pyruvate kinase,K00873
100,SYNPCC7942_RS00505,Synpcc7942_0099,100202,100531,+,SYNPCC7942_RS00505,SYNPCC7942_0099,SYNPCC7942_0099,,nucleoside triphosphate pyrophosphohydrolase family protein,hypothetical protein,SYNPCC7942_RS00505,
101,SYNPCC7942_RS00510,Synpcc7942_0100,100528,101082,-,SYNPCC7942_RS00510,SYNPCC7942_0100,SYNPCC7942_0100,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS00510,
102,SYNPCC7942_RS00515,Synpcc7942_0101,101259,102593,+,SYNPCC7942_RS00515,ndbA,ndbA,ndbA,NAD(P)/FAD-dependent oxidoreductase,type 2 NADH dehydrogenase NdbA monomer,type 2 NADH dehydrogenase,K03885
103,SYNPCC7942_RS00520,Synpcc7942_0102,102674,103237,+,SYNPCC7942_RS00520,SYNPCC7942_0102,SYNPCC7942_0102,,Uma2 family endonuclease,conserved hypothetical protein,SYNPCC7942_RS00520,
104,SYNPCC7942_RS00525,Synpcc7942_0103,103268,103645,-,SYNPCC7942_RS00525,arpA,arpA,,ankyrin repeat domain-containing protein,Ankyrin,SYNPCC7942_RS00525,
105,SYNPCC7942_RS00530,Synpcc7942_0104,103632,104456,-,SYNPCC7942_RS00530,SYNPCC7942_0104,SYNPCC7942_0104,,hypothetical protein,hypothetical protein,SYNPCC7942_RS00530,
106,SYNPCC7942_RS00535,Synpcc7942_0105,104653,106377,-,SYNPCC7942_RS00535,nadE,nadE,nadE,NAD+ synthase,NAD+ synthetase,NAD synthetase,"K01916,ko:K01950"
107,SYNPCC7942_RS00540,Synpcc7942_0106,106374,106952,-,SYNPCC7942_RS00540,nadD,nadD,,nicotinate-nucleotide adenylyltransferase,probable nicotinate-nucleotide adenylyltransferase,SYNPCC7942_RS00540,K00969
108,SYNPCC7942_RS00545,Synpcc7942_0107,106965,108383,-,SYNPCC7942_RS00545,SYNPCC7942_0107,SYNPCC7942_0107,,DUF697 domain-containing protein,Small GTP-binding protein domain,Small GTP-binding protein domain,K06883
109,SYNPCC7942_RS00550,Synpcc7942_0108,108556,108816,+,SYNPCC7942_RS00550,parB,parB,,ParB N-terminal domain-containing protein,ParB-like nuclease,SYNPCC7942_RS00550,
110,SYNPCC7942_RS00555,Synpcc7942_0109,108877,109383,+,SYNPCC7942_RS00555,SYNPCC7942_0109,SYNPCC7942_0109,,DNA starvation/stationary phase protection protein,DNA-binding ferritin-like protein (oxidative damage protectant),SYNPCC7942_RS00555,K04047
111,SYNPCC7942_RS00560,Synpcc7942_0110,109390,109947,+,SYNPCC7942_RS00560,SYNPCC7942_0110,SYNPCC7942_0110,,helix-turn-helix transcriptional regulator,"transcriptional regulator, XRE family",SYNPCC7942_RS00560,
112,SYNPCC7942_RS00565,Synpcc7942_0111,110012,111607,+,SYNPCC7942_RS00565,dnaK4,dnaK4,,Hsp70 family protein,DnaK protein-like,SYNPCC7942_RS00565,
113,SYNPCC7942_RS00570,Synpcc7942_0112,111686,113140,+,SYNPCC7942_RS00570,phrA,phrA,,deoxyribodipyrimidine photo-lyase%2C 8-HDF type,Deoxyribodipyrimidine photolyase,SYNPCC7942_RS00570,K01669
114,SYNPCC7942_RS00575,Synpcc7942_0113,113196,113288,+,petL,SYNPCC7942_0113,SYNPCC7942_0113,,cytochrome b6-f complex subunit PetL,hypothetical protein,SYNPCC7942_RS00575,
115,SYNPCC7942_RS00580,Synpcc7942_0114,113327,113698,+,SYNPCC7942_RS00580,SYNPCC7942_0114,SYNPCC7942_0114,,hypothetical protein,hypothetical protein,SYNPCC7942_RS00580,
116,SYNPCC7942_RS13655,Synpcc7942_0115,113631,114146,-,SYNPCC7942_RS13655,SYNPCC7942_RS13655,SYNPCC7942_RS13655,,hypothetical protein,SYNPCC7942_RS13655,SYNPCC7942_RS13655,
117,SYNPCC7942_RS00585,Synpcc7942_0116,114299,115273,+,SYNPCC7942_RS00585,scrK,scrK,,carbohydrate kinase,fructokinase,SYNPCC7942_RS00585,K00847
118,SYNPCC7942_RS13660,Synpcc7942_0117,115391,116722,+,SYNPCC7942_RS13660,SYNPCC7942_RS13660,SYNPCC7942_RS13660,,hypothetical protein,SYNPCC7942_RS13660,SYNPCC7942_RS13660,
119,SYNPCC7942_RS00590,Synpcc7942_0118,116943,118427,+,gatB,gatB,gatB,gatB,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,"glutamyl-tRNA(Gln) amidotransferase, B subunit",aspartyl/glutamyl-tRNA amidotransferase subunit B,K02434
120,SYNPCC7942_RS00595,,118503,118793,+,SYNPCC7942_RS00595,SYNPCC7942_RS00595,SYNPCC7942_RS00595,,hypothetical protein,SYNPCC7942_RS00595,SYNPCC7942_RS00595,
121,SYNPCC7942_RS00600,Synpcc7942_0119,118735,119292,-,SYNPCC7942_RS00600,SYNPCC7942_0119,SYNPCC7942_0119,,hypothetical protein,hypothetical protein,SYNPCC7942_RS00600,
122,SYNPCC7942_RS00605,Synpcc7942_0120,119508,119993,-,SYNPCC7942_RS00605,SYNPCC7942_0120,SYNPCC7942_0120,,nucleoside deaminase,Cytosine adenosine deaminases-like,SYNPCC7942_RS00605,
123,SYNPCC7942_RS00610,Synpcc7942_0121,120013,121239,-,SYNPCC7942_RS00610,SYNPCC7942_0121,SYNPCC7942_0121,,hypothetical protein,conserved hypothetical protein,hypothetical protein,
124,SYNPCC7942_RS00620,Synpcc7942_0122,121831,123408,-,SYNPCC7942_RS00620,SYNPCC7942_0122,SYNPCC7942_0122,,EAL domain-containing protein,EAL-domain protein,SYNPCC7942_RS00620,
125,SYNPCC7942_RS00630,Synpcc7942_0124,124070,124669,-,SYNPCC7942_RS00630,SYNPCC7942_0124,SYNPCC7942_0124,,methyltransferase domain-containing protein,thiol methyltransferase 1-like,SYNPCC7942_RS00630,K00569
