locus_tag,old_locus_tag,new_annot,gene_name,new_product,cycbio_gene_name,cycbio_gene_product,COG,uniprot,start,end,strand,operon,accession
SYNPCC7942_RS00070,Synpcc7942_0014,SE_14,SE_14,hypothetical protein,SYNPCC7942_0014,conserved hypothetical protein,Signal transduction mechanisms,A0A0H3K9S2,13067,13411,-,,
SYNPCC7942_RS00075,Synpcc7942_0015,SE_15,SE_15,Fe2+-dependent dioxygenase,phyA1,prolyl 4-hydroxylase,Energy production and conversion,Q31SC2,13577,14248,-,,
SYNPCC7942_RS00080,,SE_16,SE_16,hypothetical protein,SYNPCC7942_RS00080,SYNPCC7942_RS00080,No COG annotation,UPI00003A0778,14425,14628,+,,
SYNPCC7942_RS00085,Synpcc7942_0016,SE_17,SE_17,hypothetical protein,SYNPCC7942_0016,conserved hypothetical protein,No COG annotation,A0A0H3K3N8,15020,15604,+,,
SYNPCC7942_RS00090,Synpcc7942_0017,SE_18,eda,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,eda,2-dehydro-3-deoxyphosphogluconate aldolase,Carbohydrate transport and metabolism,A0A0H3K697,15630,16193,-,,
SYNPCC7942_RS00095,Synpcc7942_0018,SE_19,glyS,glycyl-tRNA synthetase subunit beta,glyS,"glycyl-tRNA synthetase, beta subunit","Translation, ribosomal structure and biogenesis",Q31SB9,16206,18392,-,,
SYNPCC7942_RS00100,Synpcc7942_0019,SE_20,sir,sulfite reductase,sir,"Sulfite reductase, ferredoxin dependent",Energy production and conversion,P30008,18615,20489,+,,
SYNPCC7942_RS00105,Synpcc7942_0020,SE_21,SE_21,hypothetical protein,SYNPCC7942_0020,conserved hypothetical protein,No COG annotation,A0A0H3K9R7,20490,21092,+,,
SYNPCC7942_RS00110,Synpcc7942_0021,SE_22,cobK,cobalt-precorrin-6X reductase,cobK,precorrin-6x reductase,Coenzyme transport and metabolism,A0A0H3K3N2,21134,21874,-,,
SYNPCC7942_RS00115,Synpcc7942_0022,SE_23,SE_23,pentapeptide repeat protein,SYNPCC7942_0022,conserved hypothetical protein,Function unknown,Q31SB5,21880,23049,-,,
SYNPCC7942_RS00120,Synpcc7942_0023,SE_24,cax,calcium/proton exchanger,cax,calcium/proton exchanger,Inorganic ion transport and metabolism,A0A0H3K375,23057,24121,-,,
SYNPCC7942_RS00125,Synpcc7942_0024,SE_25,SE_25,protein of unknown function (DUF4336),SYNPCC7942_0024,conserved hypothetical protein,Function unknown,Q31SB3,24181,25371,-,,
SYNPCC7942_RS00130,,SE_26,SE_26,alpha/beta fold hydrolase,SYNPCC7942_RS00130,SYNPCC7942_RS00130,Function unknown,Q31SB2,25416,27122,+,,
SYNPCC7942_RS00135,Synpcc7942_0026,SE_27,SE_27,aldo/keto reductase,SYNPCC7942_0026,conserved hypothetical protein,Energy production and conversion,A0A0H3K3M5,27082,28059,-,,
SYNPCC7942_RS00140,Synpcc7942_0027,SE_28,bioF,8-amino-7-oxononanoate synthase,bioF,8-amino-7-oxononanoate synthase,Amino acid transport and metabolism,A0A0H3K680,28184,29350,+,,
SYNPCC7942_RS00145,Synpcc7942_0028,SE_29,SE_29,alpha/beta hydrolase,SYNPCC7942_0028,conserved hypothetical protein,Lipid transport and metabolism,Q31SA9,29347,30015,+,,
SYNPCC7942_RS00150,Synpcc7942_0029,SE_30,SE_30,methyltransferase domain-containing protein,bioC,BioC biotin biosynthesis protein,Function unknown,A0A0H3K326,30012,30833,+,,
SYNPCC7942_RS00155,Synpcc7942_0030,SE_31,bioD,dethiobiotin synthetase,bioD,dethiobiotin synthase,Coenzyme transport and metabolism,A0A0H3K9Q2,30839,31471,+,,
SYNPCC7942_RS00160,Synpcc7942_0031,SE_32,bioA,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,bioA,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,Coenzyme transport and metabolism,A0A0H3K3M1,31464,32738,+,,
SYNPCC7942_RS00165,Synpcc7942_0032,SE_33,SE_33,DUF86 domain-containing protein,SYNPCC7942_0032,conserved hypothetical protein,Function unknown,A0A0H3K674,32849,33202,-,,
SYNPCC7942_RS13645,Synpcc7942_0033,SE_34,SE_34,nucleotidyltransferase family protein,SYNPCC7942_RS13645,SYNPCC7942_RS13645,Function unknown,A0A0H3K362,33174,33506,-,,
SYNPCC7942_RS00170,,SE_36,SE_36,hypothetical protein,SYNPCC7942_RS00170,SYNPCC7942_RS00170,No COG annotation,UPI0005853E7E,33960,34289,+,,
SYNPCC7942_RS00175,Synpcc7942_0035,SE_37,SE_37,hypothetical protein,SYNPCC7942_0035,conserved hypothetical protein,No COG annotation,Q31SA2,34357,35115,-,,
SYNPCC7942_RS00180,,SE_38,SE_38,hypothetical protein,SYNPCC7942_RS00180,SYNPCC7942_RS00180,Function unknown,Q31SA1,35341,36126,+,,
SYNPCC7942_RS00185,Synpcc7942_0037,SE_39,SE_39,hypothetical protein,SYNPCC7942_0037,hypothetical protein,No COG annotation,Q31SA0,36123,36326,-,,
SYNPCC7942_RS00190,Synpcc7942_0038,SE_40,mutT,DNA mismatch repair protein MutT,mutT,mutator MutT protein,Nucleotide transport and metabolism,Q31S99,36479,36955,+,,
SYNPCC7942_RS00195,Synpcc7942_0039,SE_41,gnd,6-phosphogluconate dehydrogenase,gnd,"6-phosphogluconate dehydrogenase, decarboxylating",Coenzyme transport and metabolism,P21577,37130,38545,+,,
SYNPCC7942_RS00200,Synpcc7942_0040,SE_42,folB,dihydroneopterin aldolase,folB,dihydroneopterin aldolase,Coenzyme transport and metabolism,A0A0H3K353,38630,39007,+,,
SYNPCC7942_RS00205,Synpcc7942_0041,SE_43,SE_43,transporter,SYNPCC7942_0041,probable transport protein,Inorganic ion transport and metabolism,Q31S96,39441,40745,+,,
SYNPCC7942_RS00210,Synpcc7942_0042,SE_44,rpmB,50S ribosomal protein L28,rpmB,50S ribosomal subunit protein L28,"Translation, ribosomal structure and biogenesis",Q31S95,40855,41091,-,,
SYNPCC7942_RS00215,Synpcc7942_0043,SE_45,SE_45,hypothetical protein,SYNPCC7942_0043,conserved hypothetical protein,No COG annotation,A0A0H3K9N6,41131,41496,-,,
SYNPCC7942_RS00220,Synpcc7942_0044,SE_46,SE_46,FAD dependent oxidoreductase,SYNPCC7942_0044,conserved hypothetical protein,Amino acid transport and metabolism,Q31S93,41495,43477,+,,
SYNPCC7942_RS00225,Synpcc7942_0045,SE_47,SE_47,TPR repeat-containing protein,SYNPCC7942_0045,TPR repeat,Cell wall/membrane/envelope biogenesis,Q31S92,43572,44927,+,,
SYNPCC7942_RS00230,Synpcc7942_0046,SE_48,SE_48,Methyltransferase domain-containing protein,SYNPCC7942_0046,methylase involved in ubiquinone/menaquinone biosynthesis,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0H3K346,45164,46507,+,,
SYNPCC7942_RS00235,Synpcc7942_0047,SE_49,SE_49,TPR repeat-containing protein,SYNPCC7942_0047,TPR repeat,Cell wall/membrane/envelope biogenesis,Q31S90,46515,48881,+,,
SYNPCC7942_RS00240,,SE_50,pilA,type IV pilus assembly protein PilA,SYNPCC7942_RS00240,SYNPCC7942_RS00240,"Intracellular trafficking, secretion, and vesicular transport",Q31S89,48927,49361,-,,
SYNPCC7942_RS00245,,SE_51,pilA,type IV pilus assembly protein PilA,SYNPCC7942_RS00245,SYNPCC7942_RS00245,"Intracellular trafficking, secretion, and vesicular transport",Q31S88,49550,49984,-,,
SYNPCC7942_RS00250,Synpcc7942_0050,SE_52,SE_52,Glycosyltransferase,SYNPCC7942_0050,conserved hypothetical protein,Cell wall/membrane/envelope biogenesis,A0A0H3K654,50070,52616,+,,
SYNPCC7942_RS00255,Synpcc7942_0051,SE_53,SE_53,TPR repeat-containing protein,SYNPCC7942_0051,TPR repeat,"Post-translational modification, protein turnover,and chaperones",Q31S86,52606,54507,-,,
SYNPCC7942_RS00260,Synpcc7942_0052,SE_54,SE_54,methyltransferase domain-containing protein,SYNPCC7942_0052,conserved hypothetical protein,Function unknown,A0A0H3K305,54512,55030,-,,
SYNPCC7942_RS00265,Synpcc7942_0053,SE_55,SE_55,glycosyltransferase family 2 protein,SYNPCC7942_0053,conserved hypothetical protein,"Post-translational modification, protein turnover,and chaperones",A0A0H3K9M2,55204,56352,-,,
SYNPCC7942_RS00270,Synpcc7942_0054,SE_56,SE_56,cephalosporin hydroxylase,SYNPCC7942_0054,conserved hypothetical protein,Defense mechanisms,A0A0H3K3K5,56423,57190,-,,
SYNPCC7942_RS00275,Synpcc7942_0055,SE_57,SE_57,GNAT family N-acetyltransferase,SYNPCC7942_0055,hypothetical protein,"Translation, ribosomal structure and biogenesis",Q31S82,57223,57906,-,,
SYNPCC7942_RS00280,Synpcc7942_0056,SE_58,rfbE,DegT/DnrJ/EryC1/StrS aminotransferase family protein,rfbE,perosamine synthetase,Cell wall/membrane/envelope biogenesis,Q31S81,57941,59068,-,,
SYNPCC7942_RS00285,Synpcc7942_0057,SE_59,SE_59,Class I SAM-dependent methyltransferase,SYNPCC7942_0057,putative C-3 methyl transferase,Coenzyme transport and metabolism,A0A0H3K337,59072,60304,-,,
SYNPCC7942_RS00290,Synpcc7942_0058,SE_60,rfbC,"dTDP-4-dehydrorhamnose 3,5-epimerase",rfbC1,"dTDP-4-dehydrorhamnose 3,5-epimerase",Cell wall/membrane/envelope biogenesis,A0A0H3K2Z8,60301,60846,-,,
SYNPCC7942_RS00295,Synpcc7942_0059,SYNPCC7942_RS00295,SYNPCC7942_RS00295,SYNPCC7942_RS00295,SYNPCC7942_0059,hypothetical protein,No COG annotation,Q31S78,60867,61112,-,,
SYNPCC7942_RS00300,Synpcc7942_0060,SYNPCC7942_RS00300,SYNPCC7942_RS00300,SYNPCC7942_RS00300,SYNPCC7942_0060,hypothetical protein,No COG annotation,UPI0000460194,61091,61360,-,,
SYNPCC7942_RS00305,Synpcc7942_0061,SYNPCC7942_RS00305,SYNPCC7942_RS00305,SYNPCC7942_RS00305,rfbG,"CDP-glucose 4,6-dehydratase",Cell wall/membrane/envelope biogenesis,Q31S76,61366,62472,-,,
SYNPCC7942_RS00310,Synpcc7942_0062,SYNPCC7942_RS00310,SYNPCC7942_RS00310,SYNPCC7942_RS00310,rfbF,glucose-1-phosphate cytidylyltransferase,"Translation, ribosomal structure and biogenesis",A0A0H3K3J8,62469,63242,-,,
SYNPCC7942_RS00315,Synpcc7942_0063,SE_65,SE_65,dual specificity protein phosphatase,SYNPCC7942_0063,dual specificity protein phosphatase,Signal transduction mechanisms,A0A0H3K642,64266,64706,-,,
SYNPCC7942_RS13650,,SE_66,SE_66,Protein of unknown function (DUF2887),SYNPCC7942_RS13650,SYNPCC7942_RS13650,Function unknown,,64754,64870,-,,
SYNPCC7942_RS00320,Synpcc7942_0065,SE_67,infC,bacterial translation initiation factor 3 (bIF-3),infC,translation initiation factor IF-3,"Translation, ribosomal structure and biogenesis",A0A0H3K328,64987,65541,-,,
SYNPCC7942_RS00325,Synpcc7942_0066,SE_68,SE_68,"ABC-type uncharacterized transport system involved in gliding motility, auxiliary component",SYNPCC7942_0066,"ABC type transporter, putative component",Cell motility,A0A0H3K2Z4,65658,67172,-,,
SYNPCC7942_RS00330,Synpcc7942_0067,SE_69,SE_69,ABC transporter permease,SYNPCC7942_0067,"ABC type transporter, permease component",Function unknown,A0A0H3K9K6,67177,67986,-,,
SYNPCC7942_RS00335,Synpcc7942_0068,SE_70,SE_70,ATP-binding cassette domain-containing protein,SYNPCC7942_0068,"ABC type transporter, ATPase component",Defense mechanisms,A0A0H3K3J3,67991,68944,-,,
SYNPCC7942_RS00340,Synpcc7942_0069,SE_71,SE_71,hypothetical protein,SYNPCC7942_0069,hypothetical protein,No COG annotation,Q31S68,69079,69375,+,,
SYNPCC7942_RS00345,Synpcc7942_0070,SE_72,SE_72,hypothetical protein,SYNPCC7942_0070,conserved hypothetical protein,Function unknown,A0A0H3K634,69378,69938,-,,
SYNPCC7942_RS00350,Synpcc7942_0071,SE_73,degT,DegT/DnrJ/EryC1/StrS family aminotransferase,SYNPCC7942_0071,pleiotropic regulatory protein,Amino acid transport and metabolism,A0A0H3K324,69940,71139,-,,
SYNPCC7942_RS00355,Synpcc7942_0072,SE_74,SE_74,Protein of unknown function (DUF1997),SYNPCC7942_0072,conserved hypothetical protein,"Replication, recombination and repair",A0A0H3K2Y8,71307,71960,-,,
SYNPCC7942_RS00360,Synpcc7942_0073,SE_75,lytB,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,ispH,hydroxymethylbutenyl pyrophosphate reductase,Lipid transport and metabolism,Q31S64,72000,73196,-,,
SYNPCC7942_RS00365,Synpcc7942_0074,SE_76,SE_76,hypothetical protein,SYNPCC7942_0074,conserved hypothetical protein,No COG annotation,Q31S63,73306,73659,-,,
SYNPCC7942_RS00370,Synpcc7942_0075,SE_77,pepP,aminopeptidase P Metallo peptidase. MEROPS family M24B,pepP,aminopeptidase P,Amino acid transport and metabolism,A0A0H3K3I6,73775,75088,+,,
SYNPCC7942_RS00375,Synpcc7942_0076,SE_78,SE_78,"amino acid ABC transporter substrate-binding protein, PAAT family",SYNPCC7942_0076,"extracellular solute-binding protein, family 3",Amino acid transport and metabolism,A0A0H3K631,75091,75852,+,,
SYNPCC7942_RS00380,Synpcc7942_0077,SE_79,SE_79,"transcriptional regulator, XRE family",SYNPCC7942_0077,"transcriptional regulator, XRE family",No COG annotation,A0A0H3K316,75928,76617,+,,
SYNPCC7942_RS00385,Synpcc7942_0078,SE_80,SE_80,secondary thiamine-phosphate synthase enzyme,SYNPCC7942_0078,Protein of unknown function UPF0047,Function unknown,A0A0H3K2Y3,76614,77063,-,,
SYNPCC7942_RS00390,Synpcc7942_0079,SE_81,ycf41,Single-stranded DNA-binding protein,SYNPCC7942_0079,conserved hypothetical protein YCF41,"Replication, recombination and repair",A0A0H3K9J4,77138,77584,-,,
SYNPCC7942_RS00395,Synpcc7942_0080,SE_82,SE_82,putative ABC transport system permease protein,SYNPCC7942_0080,probable ABC transporter permease protein,Defense mechanisms,A0A0H3K3I1,77648,78871,-,,
SYNPCC7942_RS00400,Synpcc7942_0081,SE_83,SE_83,ribosome-associated protein,SYNPCC7942_0081,RNA-binding S4,Function unknown,Q31S56,78987,79196,-,,
SYNPCC7942_RS00405,Synpcc7942_0082,SE_84,mdlB,"ATP-binding cassette, subfamily B",SYNPCC7942_0082,ATPase,Defense mechanisms,UPI0012DD3567,79232,81013,+,,
SYNPCC7942_RS00410,Synpcc7942_0083,SE_85,SE_85,hypothetical protein,SYNPCC7942_0083,hypothetical protein,No COG annotation,A0A0H3K2X7,81023,81220,+,,
SYNPCC7942_RS00415,Synpcc7942_0084,SE_86,SE_86,ATP-dependent Zn protease,SYNPCC7942_0084,conserved hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q54731,81217,81918,+,,
SYNPCC7942_RS00420,Synpcc7942_0085,SE_87,SE_87,"haloacid dehalogenase superfamily, subfamily IA,variant 3 with third motif having DD or ED",SYNPCC7942_0085,"HAD-superfamily hydrolase subfamily IA, variant 3",Function unknown,Q31S52,82179,82865,-,,
SYNPCC7942_RS00425,Synpcc7942_0086,SE_88,glgX,isoamylase,glgX,glycogen debranching enzyme,Carbohydrate transport and metabolism,A0A0H3K623,82871,84955,-,,
SYNPCC7942_RS00430,Synpcc7942_0087,SE_89,SE_89,site-2 protease family protein,SYNPCC7942_0087,conserved hypothetical protein,Function unknown,Q31S50,84964,86475,-,,
SYNPCC7942_RS00435,Synpcc7942_0088,SE_90,SE_90,metallo-beta-lactamase,SYNPCC7942_0088,conserved hypothetical protein,Function unknown,A0A0H3K2X1,86547,87269,+,,
SYNPCC7942_RS00440,,SE_91,SE_91,hypothetical protein,SYNPCC7942_RS00440,SYNPCC7942_RS00440,No COG annotation,UPI0000460188,87494,87688,+,,
SYNPCC7942_RS00450,Synpcc7942_0089,SE_93,clcD,carboxymethylenebutenolidase,clcD1,Carboxymethylenebutenolidase,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0H3K9I3,87881,88615,-,,
SYNPCC7942_RS00455,Synpcc7942_0090,SE_94,SE_94,GntR family transcriptional regulator,gntR,"transcriptional regulator, GntR family",Transcription,A0A0H3K3H2,88735,89718,+,,
SYNPCC7942_RS00460,Synpcc7942_0091,SE_95,ycf21,DUF98 domain-containing protein,ubiC,chorismate lyase,Coenzyme transport and metabolism,A0A0H3K619,89715,90326,-,,
SYNPCC7942_RS00465,Synpcc7942_0092,SE_96,SE_96,hypothetical protein,SYNPCC7942_0092,conserved hypothetical protein,No COG annotation,A0A0H3K2Z9,90583,90930,-,,
SYNPCC7942_RS00470,Synpcc7942_0093,SE_97,tmk,thymidylate kinase,tmk,Thymidylate kinase,Nucleotide transport and metabolism,Q31S44,91029,91676,+,,
SYNPCC7942_RS00475,Synpcc7942_0094,SE_98,dnaX,DNA polymerase III subunit delta',holB,"DNA polymerase III, delta prime subunit","Replication, recombination and repair",Q31S43,91676,92611,+,,
SYNPCC7942_RS00480,Synpcc7942_0095,SE_99,rpaA,"two component transcriptional regulator, winged helix family",rpaA,Rpa-P RpaA response regulator,Transcription,Q31S42,92590,93339,-,,
SYNPCC7942_RS00490,Synpcc7942_0096,SE_101,SE_101,membrane protein,SYNPCC7942_0096,conserved hypothetical protein,Function unknown,A0A0H3K615,93764,94285,-,,
SYNPCC7942_RS00495,Synpcc7942_0097,SE_102,cobN,cobalamin biosynthesis protein CobN,cobN,"Cobaltochelatase, CobN subunit",Coenzyme transport and metabolism,Q31S40,94375,98166,-,,
SYNPCC7942_RS00500,Synpcc7942_0098,SE_103,pyk2,pyruvate kinase,pyk,pyruvate kinase,Carbohydrate transport and metabolism,A0A0H3K2W0,98302,100086,-,,
SYNPCC7942_RS00505,Synpcc7942_0099,SE_104,SE_104,nucleoside triphosphate pyrophosphohydrolase family protein,SYNPCC7942_0099,hypothetical protein,Function unknown,A0A0H3K9H3,100202,100531,+,,
SYNPCC7942_RS00510,Synpcc7942_0100,SE_105,SE_105,hypothetical protein,SYNPCC7942_0100,conserved hypothetical protein,No COG annotation,Q31S37,100528,101082,-,,
SYNPCC7942_RS00515,Synpcc7942_0101,SE_106,ndbA,NAD(P)/FAD-dependent oxidoreductase,ndbA,type 2 NADH dehydrogenase NdbA monomer,Energy production and conversion,Q31S36,101259,102593,+,,
SYNPCC7942_RS00520,Synpcc7942_0102,SE_107,SE_107,"Endonuclease, Uma2 family (restriction endonuclease fold)",SYNPCC7942_0102,conserved hypothetical protein,Function unknown,Q31S35,102674,103237,+,,
SYNPCC7942_RS00525,Synpcc7942_0103,SE_108,SE_108,ankyrin-repeat containing protein,arpA,Ankyrin,Carbohydrate transport and metabolism,A0A0H3K2V4,103268,103645,-,,
SYNPCC7942_RS00530,Synpcc7942_0104,SE_109,SE_109,hypothetical protein,SYNPCC7942_0104,hypothetical protein,No COG annotation,UPI0005858984,103632,104456,-,,
SYNPCC7942_RS00535,Synpcc7942_0105,SE_110,nadE,NH(3)-dependent NAD( ) synthetase,nadE,NAD+ synthetase,Coenzyme transport and metabolism,Q31S32,104653,106377,-,,
SYNPCC7942_RS00540,Synpcc7942_0106,SE_111,nadD,nicotinate-nucleotide adenylyltransferase,nadD,probable nicotinate-nucleotide adenylyltransferase,Coenzyme transport and metabolism,A0A0H3K602,106374,106952,-,,
SYNPCC7942_RS00545,Synpcc7942_0107,SE_112,SE_112,DUF697 domain-containing protein,SYNPCC7942_0107,Small GTP-binding protein domain,Function unknown,Q31S30,106965,108383,-,,
SYNPCC7942_RS00550,Synpcc7942_0108,SE_113,SE_113,partitioning protein ParB,parB,ParB-like nuclease,Function unknown,A0A0H3K2U9,108556,108816,+,,
SYNPCC7942_RS00555,Synpcc7942_0109,SE_114,SE_114,ferritin,SYNPCC7942_0109,DNA-binding ferritin-like protein (oxidative damage protectant),Inorganic ion transport and metabolism,Q31S28,108877,109383,+,,
SYNPCC7942_RS00560,Synpcc7942_0110,SE_115,SE_115,XRE family transcriptional regulator,SYNPCC7942_0110,"transcriptional regulator, XRE family",Transcription,Q31S27,109390,109947,+,,
SYNPCC7942_RS00565,Synpcc7942_0111,SE_116,dnaK,molecular chaperone DnaK,dnaK4,DnaK protein-like,"Post-translational modification, protein turnover,and chaperones",Q31S26,110012,111607,+,,
SYNPCC7942_RS00570,Synpcc7942_0112,SE_117,phr,deoxyribodipyrimidine photolyase,phrA,Deoxyribodipyrimidine photolyase,Coenzyme transport and metabolism,Q31S25,111686,113140,+,,
SYNPCC7942_RS00575,Synpcc7942_0113,SE_118,petL,cytochrome B6,SYNPCC7942_0113,hypothetical protein,No COG annotation,A0A0H3K2X3,113196,113288,+,,
SYNPCC7942_RS00580,Synpcc7942_0114,SE_119,SE_119,hypothetical protein,SYNPCC7942_0114,hypothetical protein,No COG annotation,A0A0H3K2U3,113327,113698,+,,
SYNPCC7942_RS13655,Synpcc7942_0115,SE_120,SE_120,hypothetical protein,SYNPCC7942_RS13655,SYNPCC7942_RS13655,Cell wall/membrane/envelope biogenesis,Q31S22,113631,114146,-,,
SYNPCC7942_RS00585,Synpcc7942_0116,SE_121,cscK,fructokinase,scrK,fructokinase,Carbohydrate transport and metabolism,A0A0H3K3E5,114299,115273,+,,
SYNPCC7942_RS13660,Synpcc7942_0117,SE_122,SE_122,hypothetical protein,SYNPCC7942_RS13660,SYNPCC7942_RS13660,No COG annotation,A0A0H3K5Y8,115391,116722,+,,
SYNPCC7942_RS00590,Synpcc7942_0118,SE_123,gatB,aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferasesubunit B,gatB,"glutamyl-tRNA(Gln) amidotransferase, B subunit","Translation, ribosomal structure and biogenesis",Q31S19,116943,118427,+,,
SYNPCC7942_RS00595,,SE_124,SE_124,hypothetical protein,SYNPCC7942_RS00595,SYNPCC7942_RS00595,No COG annotation,UPI0009D6DEA7,118503,118793,+,,
SYNPCC7942_RS00600,Synpcc7942_0119,SE_125,SE_125,hypothetical protein,SYNPCC7942_0119,hypothetical protein,No COG annotation,A0A0H3K2T7,118735,119292,-,,
SYNPCC7942_RS00605,Synpcc7942_0120,SE_126,SE_126,tRNA(Arg) A34 adenosine deaminase TadA,SYNPCC7942_0120,Cytosine adenosine deaminases-like,Nucleotide transport and metabolism,Q31S17,119508,119993,-,,
SYNPCC7942_RS00610,Synpcc7942_0121,SE_127,SE_127,hypothetical protein,SYNPCC7942_0121,conserved hypothetical protein,Function unknown,Q31S16,120013,121239,-,,
SYNPCC7942_RS00620,Synpcc7942_0122,SE_129,SE_129,EAL domain-containing protein,SYNPCC7942_0122,EAL-domain protein,Signal transduction mechanisms,A0A0H3K5Y4,121831,123408,-,,
SYNPCC7942_RS00630,Synpcc7942_0124,SE_131,SE_131,Thiopurine S-methyltransferase (TPMT),SYNPCC7942_0124,thiol methyltransferase 1-like,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0H3K2V9,124070,124669,-,,
SYNPCC7942_RS00635,Synpcc7942_0125,SE_132,hisB,imidazoleglycerol-phosphate dehydratase,hisB,Imidazoleglycerol-phosphate dehydratase,Amino acid transport and metabolism,Q31S12,124738,125367,-,,
SYNPCC7942_RS00640,Synpcc7942_0126,SE_133,envM,Enoyl-[acyl-carrier-protein] reductase [NADH],fabI,enoyl-(acyl-carrier-protein) reductase,Lipid transport and metabolism,Q31S11,125382,126158,-,,
SYNPCC7942_RS00645,Synpcc7942_0127,SE_134,ntcA,"transcriptional regulator, Crp/Fnr family",ntcA,NtcA global nitrogen regulator,Transcription,UPI0000130572,126390,127058,+,,
SYNPCC7942_RS00650,Synpcc7942_0128,SE_135,SE_135,DUF3084 domain-containing protein,SYNPCC7942_0128,conserved hypothetical protein,Function unknown,A0A0H3K3D6,127151,128449,+,,
SYNPCC7942_RS00655,Synpcc7942_0129,SE_136,SE_136,"RNase H-fold protein, predicted Holliday junction resolvase",SYNPCC7942_0129,"Resolvase, RNase H-like fold","Replication, recombination and repair",A0A0H3K5X8,128446,128877,+,,
SYNPCC7942_RS00660,Synpcc7942_0130,SE_137,SE_137,hypothetical protein,SYNPCC7942_0130,hypothetical protein,No COG annotation,Q31S07,128822,129409,-,,
SYNPCC7942_RS00665,Synpcc7942_0131,SE_138,SE_138,Cyclic nucleotide-binding domain-containing protein,SYNPCC7942_0131,cyclic nucleotide-binding domain (cNMP-BD) protein,Energy production and conversion,Q31S06,129670,132495,-,,
SYNPCC7942_RS00670,Synpcc7942_0132,SE_139,SE_139,NAD(P)-binding protein,SYNPCC7942_0132,conserved hypothetical protein,Function unknown,Q31S05,132721,133770,-,,
SYNPCC7942_RS00675,Synpcc7942_0133,SE_140,SE_140,hypothetical protein,SYNPCC7942_0133,conserved hypothetical protein,Function unknown,Q31S04,133915,134754,+,,
SYNPCC7942_RS00680,Synpcc7942_0134,SE_141,SE_141,O-antigen ligase family protein,SYNPCC7942_0134,hypothetical protein,Cell wall/membrane/envelope biogenesis,UPI0012DF953E,134859,136052,+,,
