locus_tag,old_locus_tag,marie_annot,marie_gene_name,marie_product,gene_name,cycbio_gene_product,old_gene_name,old_gene_product,COG,uniprot,operon,accession,start,stop,strand
SYNPCC7942_RS00055,Synpcc7942_0011,SE_11,SE_11,hypothetical protein,SYNPCC7942_0011,conserved hypothetical protein,SYNPCC7942_RS00055,hypothetical protein,No COG annotation,UPI00003A077D,Op7,NC_007604.1,10998,11489,-
SYNPCC7942_RS00060,Synpcc7942_0012,SE_12,rpsF,30S ribosomal protein S6,rpsF,30S ribosomal subunit protein S6,SYNPCC7942_RS00060,30S ribosomal protein S6,"Translation, ribosomal structure and biogenesis",Q31SC5,Op8,NC_007604.1,11641,11964,-
SYNPCC7942_RS00065,Synpcc7942_0013,SE_13,SE_13,hypothetical protein,SYNPCC7942_0013,conserved hypothetical protein,SYNPCC7942_RS00065,hypothetical protein,No COG annotation,A0A0H3K340,Op9,NC_007604.1,12321,13028,+
SYNPCC7942_RS00070,Synpcc7942_0014,SE_14,SE_14,hypothetical protein,SYNPCC7942_0014,conserved hypothetical protein,SYNPCC7942_RS00070,hypothetical protein,Signal transduction mechanisms,A0A0H3K9S2,Op10,NC_007604.1,13067,13411,-
SYNPCC7942_RS00075,Synpcc7942_0015,SE_15,SE_15,Fe2+-dependent dioxygenase,phyA1,prolyl 4-hydroxylase,SYNPCC7942_RS00075,Fe2+-dependent dioxygenase,Energy production and conversion,Q31SC2,Op11,NC_007604.1,13577,14248,-
SYNPCC7942_RS00080,,SE_16,SE_16,hypothetical protein,SYNPCC7942_RS00080,SYNPCC7942_RS00080,SYNPCC7942_RS00080,hypothetical protein,No COG annotation,UPI00003A0778,Op12,NC_007604.1,14425,14628,+
SYNPCC7942_RS00085,Synpcc7942_0016,SE_17,SE_17,hypothetical protein,SYNPCC7942_0016,conserved hypothetical protein,SYNPCC7942_RS00085,hypothetical protein,No COG annotation,A0A0H3K3N8,Op13,NC_007604.1,15020,15604,+
SYNPCC7942_RS00090,Synpcc7942_0017,SE_18,eda,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,eda,2-dehydro-3-deoxyphosphogluconate aldolase,SYNPCC7942_RS00090,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,Carbohydrate transport and metabolism,A0A0H3K697,Op14,NC_007604.1,15630,16193,-
SYNPCC7942_RS00095,Synpcc7942_0018,SE_19,glyS,glycyl-tRNA synthetase subunit beta,glyS,"glycyl-tRNA synthetase, beta subunit",SYNPCC7942_RS00095,glycine--tRNA ligase subunit beta,"Translation, ribosomal structure and biogenesis",Q31SB9,Op14,NC_007604.1,16206,18392,-
SYNPCC7942_RS00100,Synpcc7942_0019,SE_20,sir,sulfite reductase,sir,"Sulfite reductase, ferredoxin dependent",sir,sulfite reductase%2C ferredoxin dependent,Energy production and conversion,P30008,Op15,NC_007604.1,18615,20489,+
SYNPCC7942_RS00105,Synpcc7942_0020,SE_21,SE_21,hypothetical protein,SYNPCC7942_0020,conserved hypothetical protein,SYNPCC7942_RS00105,hypothetical protein,No COG annotation,A0A0H3K9R7,Op15,NC_007604.1,20490,21092,+
SYNPCC7942_RS00110,Synpcc7942_0021,SE_22,cobK,cobalt-precorrin-6X reductase,cobK,precorrin-6x reductase,SYNPCC7942_RS00110,cobalt-precorrin-6A reductase,Coenzyme transport and metabolism,A0A0H3K3N2,Op16,NC_007604.1,21134,21874,-
SYNPCC7942_RS00115,Synpcc7942_0022,SE_23,SE_23,pentapeptide repeat protein,SYNPCC7942_0022,conserved hypothetical protein,SYNPCC7942_RS00115,pentapeptide repeat-containing protein,Function unknown,Q31SB5,Op16,NC_007604.1,21880,23049,-
SYNPCC7942_RS00120,Synpcc7942_0023,SE_24,cax,calcium/proton exchanger,cax,calcium/proton exchanger,cax,calcium/proton exchanger,Inorganic ion transport and metabolism,A0A0H3K375,Op16,NC_007604.1,23057,24121,-
SYNPCC7942_RS00125,Synpcc7942_0024,SE_25,SE_25,protein of unknown function (DUF4336),SYNPCC7942_0024,conserved hypothetical protein,SYNPCC7942_RS00125,DUF4336 domain-containing protein,Function unknown,Q31SB3,Op17,NC_007604.1,24181,25371,-
SYNPCC7942_RS00130,,SE_26,SE_26,alpha/beta fold hydrolase,SYNPCC7942_RS00130,SYNPCC7942_RS00130,SYNPCC7942_RS00130,alpha/beta hydrolase,Function unknown,Q31SB2,Op18,NC_007604.1,25416,27122,+
SYNPCC7942_RS00135,Synpcc7942_0026,SE_27,SE_27,aldo/keto reductase,SYNPCC7942_0026,conserved hypothetical protein,SYNPCC7942_RS00135,aldo/keto reductase,Energy production and conversion,A0A0H3K3M5,Op19,NC_007604.1,27082,28059,-
SYNPCC7942_RS00140,Synpcc7942_0027,SE_28,bioF,8-amino-7-oxononanoate synthase,bioF,8-amino-7-oxononanoate synthase,SYNPCC7942_RS00140,8-amino-7-oxononanoate synthase,Amino acid transport and metabolism,A0A0H3K680,Op20,NC_007604.1,28184,29350,+
SYNPCC7942_RS00145,Synpcc7942_0028,SE_29,SE_29,alpha/beta hydrolase,SYNPCC7942_0028,conserved hypothetical protein,SYNPCC7942_RS00145,alpha/beta hydrolase,Lipid transport and metabolism,Q31SA9,Op20,NC_007604.1,29347,30015,+
SYNPCC7942_RS00150,Synpcc7942_0029,SE_30,SE_30,methyltransferase domain-containing protein,bioC,BioC biotin biosynthesis protein,SYNPCC7942_RS00150,methyltransferase domain-containing protein,Function unknown,A0A0H3K326,Op20,NC_007604.1,30012,30833,+
SYNPCC7942_RS00155,Synpcc7942_0030,SE_31,bioD,dethiobiotin synthetase,bioD,dethiobiotin synthase,bioD,dethiobiotin synthase,Coenzyme transport and metabolism,A0A0H3K9Q2,Op20,NC_007604.1,30839,31471,+
SYNPCC7942_RS00160,Synpcc7942_0031,SE_32,bioA,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,bioA,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,bioA,adenosylmethionine--8-amino-7-oxononanoate transaminase,Coenzyme transport and metabolism,A0A0H3K3M1,Op20,NC_007604.1,31464,32738,+
SYNPCC7942_RS00165,Synpcc7942_0032,SE_33,SE_33,DUF86 domain-containing protein,SYNPCC7942_0032,conserved hypothetical protein,SYNPCC7942_RS00165,DUF86 domain-containing protein,Function unknown,A0A0H3K674,Op21,NC_007604.1,32849,33202,-
SYNPCC7942_RS13645,Synpcc7942_0033,SE_34,SE_34,nucleotidyltransferase family protein,SYNPCC7942_RS13645,SYNPCC7942_RS13645,SYNPCC7942_RS13645,nucleotidyltransferase family protein,Function unknown,A0A0H3K362,Op22,NC_007604.1,33174,33506,-
SYNPCC7942_RS00170,,SE_36,SE_36,hypothetical protein,SYNPCC7942_RS00170,SYNPCC7942_RS00170,SYNPCC7942_RS00170,hypothetical protein,No COG annotation,UPI0005853E7E,Op23,NC_007604.1,33960,34289,+
SYNPCC7942_RS00175,Synpcc7942_0035,SE_37,SE_37,hypothetical protein,SYNPCC7942_0035,conserved hypothetical protein,SYNPCC7942_RS00175,hypothetical protein,No COG annotation,Q31SA2,Op24,NC_007604.1,34357,35115,-
SYNPCC7942_RS00180,,SE_38,SE_38,hypothetical protein,SYNPCC7942_RS00180,SYNPCC7942_RS00180,SYNPCC7942_RS00180,hypothetical protein,Function unknown,Q31SA1,Op25,NC_007604.1,35341,36126,+
SYNPCC7942_RS00185,Synpcc7942_0037,SE_39,SE_39,hypothetical protein,SYNPCC7942_0037,hypothetical protein,SYNPCC7942_RS00185,hypothetical protein,No COG annotation,Q31SA0,Op26,NC_007604.1,36123,36326,-
SYNPCC7942_RS00190,Synpcc7942_0038,SE_40,mutT,DNA mismatch repair protein MutT,mutT,mutator MutT protein,SYNPCC7942_RS00190,NUDIX hydrolase,Nucleotide transport and metabolism,Q31S99,Op27,NC_007604.1,36479,36955,+
SYNPCC7942_RS00195,Synpcc7942_0039,SE_41,gnd,6-phosphogluconate dehydrogenase,gnd,"6-phosphogluconate dehydrogenase, decarboxylating",gndA,NADP-dependent phosphogluconate dehydrogenase,Coenzyme transport and metabolism,P21577,Op28,NC_007604.1,37130,38545,+
SYNPCC7942_RS00200,Synpcc7942_0040,SE_42,folB,dihydroneopterin aldolase,folB,dihydroneopterin aldolase,folB,dihydroneopterin aldolase,Coenzyme transport and metabolism,A0A0H3K353,Op29,NC_007604.1,38630,39007,+
SYNPCC7942_RS00205,Synpcc7942_0041,SE_43,SE_43,transporter,SYNPCC7942_0041,probable transport protein,SYNPCC7942_RS00205,transporter,Inorganic ion transport and metabolism,Q31S96,Op30,NC_007604.1,39441,40745,+
SYNPCC7942_RS00210,Synpcc7942_0042,SE_44,rpmB,50S ribosomal protein L28,rpmB,50S ribosomal subunit protein L28,SYNPCC7942_RS00210,50S ribosomal protein L28,"Translation, ribosomal structure and biogenesis",Q31S95,Op31,NC_007604.1,40855,41091,-
SYNPCC7942_RS00215,Synpcc7942_0043,SE_45,SE_45,hypothetical protein,SYNPCC7942_0043,conserved hypothetical protein,SYNPCC7942_RS00215,hypothetical protein,No COG annotation,A0A0H3K9N6,Op31,NC_007604.1,41131,41496,-
SYNPCC7942_RS00220,Synpcc7942_0044,SE_46,SE_46,FAD dependent oxidoreductase,SYNPCC7942_0044,conserved hypothetical protein,SYNPCC7942_RS00220,FAD-dependent oxidoreductase,Amino acid transport and metabolism,Q31S93,Op32,NC_007604.1,41495,43477,+
SYNPCC7942_RS00225,Synpcc7942_0045,SE_47,SE_47,TPR repeat-containing protein,SYNPCC7942_0045,TPR repeat,SYNPCC7942_RS00225,tetratricopeptide repeat protein,Cell wall/membrane/envelope biogenesis,Q31S92,Op33,NC_007604.1,43572,44927,+
SYNPCC7942_RS00230,Synpcc7942_0046,SE_48,SE_48,Methyltransferase domain-containing protein,SYNPCC7942_0046,methylase involved in ubiquinone/menaquinone biosynthesis,SYNPCC7942_RS00230,methyltransferase domain-containing protein,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0H3K346,Op34,NC_007604.1,45164,46507,+
SYNPCC7942_RS00235,Synpcc7942_0047,SE_49,SE_49,TPR repeat-containing protein,TRP1,TPR repeat,SYNPCC7942_RS00235,exostosin family protein,Cell wall/membrane/envelope biogenesis,Q31S90,Op34,NC_007604.1,46515,48881,+
SYNPCC7942_RS00240,Synpcc7942_0048,SE_50,pilA1,type IV pilus assembly protein PilA,pilA1,type IV pilus assembly protein PilA,SYNPCC7942_RS00240,prepilin-type N-terminal cleavage/methylation domain-containing protein,"Intracellular trafficking, secretion, and vesicular transport",Q31S89,Op35,NC_007604.1,48927,49361,-
SYNPCC7942_RS00245,Synpcc7942_0049,SE_51,pilA2,type IV pilus assembly protein PilA,pilA2,type IV pilus assembly protein PilA,SYNPCC7942_RS00245,prepilin-type N-terminal cleavage/methylation domain-containing protein,"Intracellular trafficking, secretion, and vesicular transport",Q31S88,Op36,NC_007604.1,49550,49984,-
SYNPCC7942_RS00250,Synpcc7942_0050,SE_52,SE_52,Glycosyltransferase,SYNPCC7942_0050,conserved hypothetical protein,SYNPCC7942_RS00250,glycosyltransferase,Cell wall/membrane/envelope biogenesis,A0A0H3K654,Op37,NC_007604.1,50070,52616,+
SYNPCC7942_RS00255,Synpcc7942_0051,SE_53,SE_53,TPR repeat-containing protein,SYNPCC7942_0051,TPR repeat,SYNPCC7942_RS00255,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q31S86,Op38,NC_007604.1,52606,54507,-
SYNPCC7942_RS00260,Synpcc7942_0052,SE_54,SE_54,methyltransferase domain-containing protein,SYNPCC7942_0052,conserved hypothetical protein,SYNPCC7942_RS00260,methyltransferase domain-containing protein,Function unknown,A0A0H3K305,Op38,NC_007604.1,54512,55030,-
SYNPCC7942_RS00265,Synpcc7942_0053,SE_55,SE_55,glycosyltransferase family 2 protein,SYNPCC7942_0053,conserved hypothetical protein,SYNPCC7942_RS00265,glycosyltransferase family 2 protein,"Post-translational modification, protein turnover,and chaperones",A0A0H3K9M2,Op39,NC_007604.1,55204,56352,-
SYNPCC7942_RS00270,Synpcc7942_0054,SE_56,SE_56,cephalosporin hydroxylase,SYNPCC7942_0054,conserved hypothetical protein,SYNPCC7942_RS00270,cephalosporin hydroxylase family protein,Defense mechanisms,A0A0H3K3K5,Op40,NC_007604.1,56423,57190,-
SYNPCC7942_RS00275,Synpcc7942_0055,SE_57,SE_57,GNAT family N-acetyltransferase,SYNPCC7942_0055,hypothetical protein,SYNPCC7942_RS00275,GNAT family N-acetyltransferase,"Translation, ribosomal structure and biogenesis",Q31S82,Op40,NC_007604.1,57223,57906,-
SYNPCC7942_RS00280,Synpcc7942_0056,SE_58,rfbE,DegT/DnrJ/EryC1/StrS aminotransferase family protein,rfbE,perosamine synthetase,SYNPCC7942_RS00280,DegT/DnrJ/EryC1/StrS aminotransferase family protein,Cell wall/membrane/envelope biogenesis,Q31S81,Op40,NC_007604.1,57941,59068,-
SYNPCC7942_RS00285,Synpcc7942_0057,SE_59,SE_59,Class I SAM-dependent methyltransferase,SYNPCC7942_0057,putative C-3 methyl transferase,SYNPCC7942_RS00285,class I SAM-dependent methyltransferase,Coenzyme transport and metabolism,A0A0H3K337,Op40,NC_007604.1,59072,60304,-
SYNPCC7942_RS00290,Synpcc7942_0058,SE_60,rfbC,"dTDP-4-dehydrorhamnose 3,5-epimerase",rfbC1,"dTDP-4-dehydrorhamnose 3,5-epimerase",rfbC,dTDP-4-dehydrorhamnose 3%2C5-epimerase,Cell wall/membrane/envelope biogenesis,A0A0H3K2Z8,Op40,NC_007604.1,60301,60846,-
SYNPCC7942_RS00295,Synpcc7942_0059,SYNPCC7942_RS00295,SYNPCC7942_RS00295,SYNPCC7942_RS00295,SYNPCC7942_0059,hypothetical protein,SYNPCC7942_RS00295,hypothetical protein,No COG annotation,Q31S78,Op40,NC_007604.1,60867,61112,-
SYNPCC7942_RS00300,Synpcc7942_0060,SYNPCC7942_RS00300,SYNPCC7942_RS00300,SYNPCC7942_RS00300,SYNPCC7942_0060,hypothetical protein,SYNPCC7942_RS00300,hypothetical protein,No COG annotation,UPI0000460194,Op41,NC_007604.1,61091,61360,-
SYNPCC7942_RS00305,Synpcc7942_0061,SYNPCC7942_RS00305,SYNPCC7942_RS00305,SYNPCC7942_RS00305,rfbG,"CDP-glucose 4,6-dehydratase",rfbG,CDP-glucose 4%2C6-dehydratase,Cell wall/membrane/envelope biogenesis,Q31S76,Op41,NC_007604.1,61366,62472,-
SYNPCC7942_RS00310,Synpcc7942_0062,SYNPCC7942_RS00310,SYNPCC7942_RS00310,SYNPCC7942_RS00310,rfbF,glucose-1-phosphate cytidylyltransferase,rfbF,glucose-1-phosphate cytidylyltransferase,"Translation, ribosomal structure and biogenesis",A0A0H3K3J8,Op41,NC_007604.1,62469,63242,-
SYNPCC7942_RS00315,Synpcc7942_0063,SE_65,SE_65,dual specificity protein phosphatase,SYNPCC7942_0063,dual specificity protein phosphatase,SYNPCC7942_RS00315,dual specificity protein phosphatase family protein,Signal transduction mechanisms,A0A0H3K642,Op42,NC_007604.1,64266,64706,-
SYNPCC7942_RS13650,,SE_66,SE_66,Protein of unknown function (DUF2887),SYNPCC7942_RS13650,SYNPCC7942_RS13650,SYNPCC7942_RS13650,DUF2887 domain-containing protein,Function unknown,,Op43,NC_007604.1,64754,64870,-
SYNPCC7942_RS00320,Synpcc7942_0065,SE_67,infC,bacterial translation initiation factor 3 (bIF-3),infC,translation initiation factor IF-3,SYNPCC7942_RS00320,translation initiation factor IF-3,"Translation, ribosomal structure and biogenesis",A0A0H3K328,Op44,NC_007604.1,64987,65541,-
SYNPCC7942_RS00325,Synpcc7942_0066,SE_68,SE_68,"ABC-type uncharacterized transport system involved in gliding motility, auxiliary component",SYNPCC7942_0066,"ABC type transporter, putative component",SYNPCC7942_RS00325,Gldg family protein,Cell motility,A0A0H3K2Z4,Op45,NC_007604.1,65658,67172,-
SYNPCC7942_RS00330,Synpcc7942_0067,SE_69,SE_69,ABC transporter permease,SYNPCC7942_0067,"ABC type transporter, permease component",SYNPCC7942_RS00330,ABC transporter permease subunit,Function unknown,A0A0H3K9K6,Op45,NC_007604.1,67177,67986,-
SYNPCC7942_RS00335,Synpcc7942_0068,SE_70,SE_70,ATP-binding cassette domain-containing protein,SYNPCC7942_0068,"ABC type transporter, ATPase component",SYNPCC7942_RS00335,ABC transporter ATP-binding protein,Defense mechanisms,A0A0H3K3J3,Op45,NC_007604.1,67991,68944,-
SYNPCC7942_RS00340,Synpcc7942_0069,SE_71,SE_71,hypothetical protein,SYNPCC7942_0069,hypothetical protein,SYNPCC7942_RS00340,hypothetical protein,No COG annotation,Q31S68,Op46,NC_007604.1,69079,69375,+
SYNPCC7942_RS00345,Synpcc7942_0070,SE_72,SE_72,hypothetical protein,SYNPCC7942_0070,conserved hypothetical protein,SYNPCC7942_RS00345,pyridoxamine 5'-phosphate oxidase family protein,Function unknown,A0A0H3K634,Op47,NC_007604.1,69378,69938,-
SYNPCC7942_RS00350,Synpcc7942_0071,SE_73,degT,DegT/DnrJ/EryC1/StrS family aminotransferase,SYNPCC7942_0071,pleiotropic regulatory protein,SYNPCC7942_RS00350,DegT/DnrJ/EryC1/StrS family aminotransferase,Amino acid transport and metabolism,A0A0H3K324,Op47,NC_007604.1,69940,71139,-
SYNPCC7942_RS00355,Synpcc7942_0072,SE_74,SE_74,Protein of unknown function (DUF1997),SYNPCC7942_0072,conserved hypothetical protein,SYNPCC7942_RS00355,DUF1997 domain-containing protein,"Replication, recombination and repair",A0A0H3K2Y8,Op48,NC_007604.1,71307,71960,-
SYNPCC7942_RS00360,Synpcc7942_0073,SE_75,lytB,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,ispH,hydroxymethylbutenyl pyrophosphate reductase,SYNPCC7942_RS00360,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,Lipid transport and metabolism,Q31S64,Op48,NC_007604.1,72000,73196,-
SYNPCC7942_RS00365,Synpcc7942_0074,SE_76,SE_76,hypothetical protein,SYNPCC7942_0074,conserved hypothetical protein,SYNPCC7942_RS00365,hypothetical protein,No COG annotation,Q31S63,Op49,NC_007604.1,73306,73659,-
SYNPCC7942_RS00370,Synpcc7942_0075,SE_77,pepP,aminopeptidase P Metallo peptidase. MEROPS family M24B,pepP,aminopeptidase P,SYNPCC7942_RS00370,aminopeptidase P N-terminal domain-containing protein,Amino acid transport and metabolism,A0A0H3K3I6,Op50,NC_007604.1,73775,75088,+
SYNPCC7942_RS00375,Synpcc7942_0076,SE_78,SE_78,"amino acid ABC transporter substrate-binding protein, PAAT family",SYNPCC7942_0076,"extracellular solute-binding protein, family 3",SYNPCC7942_RS00375,transporter substrate-binding domain-containing protein,Amino acid transport and metabolism,A0A0H3K631,Op50,NC_007604.1,75091,75852,+
SYNPCC7942_RS00380,Synpcc7942_0077,SE_79,SE_79,"transcriptional regulator, XRE family",SYNPCC7942_0077,"transcriptional regulator, XRE family",SYNPCC7942_RS00380,helix-turn-helix domain-containing protein,No COG annotation,A0A0H3K316,Op51,NC_007604.1,75928,76617,+
SYNPCC7942_RS00385,Synpcc7942_0078,SE_80,SE_80,secondary thiamine-phosphate synthase enzyme,SYNPCC7942_0078,Protein of unknown function UPF0047,SYNPCC7942_RS00385,YjbQ family protein,Function unknown,A0A0H3K2Y3,Op52,NC_007604.1,76614,77063,-
SYNPCC7942_RS00390,Synpcc7942_0079,SE_81,ycf41,Single-stranded DNA-binding protein,SYNPCC7942_0079,conserved hypothetical protein YCF41,SYNPCC7942_RS00390,single-stranded DNA-binding protein,"Replication, recombination and repair",A0A0H3K9J4,Op53,NC_007604.1,77138,77584,-
SYNPCC7942_RS00395,Synpcc7942_0080,SE_82,SE_82,putative ABC transport system permease protein,SYNPCC7942_0080,probable ABC transporter permease protein,SYNPCC7942_RS00395,ABC transporter permease,Defense mechanisms,A0A0H3K3I1,Op54,NC_007604.1,77648,78871,-
SYNPCC7942_RS00400,Synpcc7942_0081,SE_83,SE_83,ribosome-associated protein,SYNPCC7942_0081,RNA-binding S4,SYNPCC7942_RS00400,RNA-binding S4 domain-containing protein,Function unknown,Q31S56,Op55,NC_007604.1,78987,79196,-
SYNPCC7942_RS00405,Synpcc7942_0082,SE_84,mdlB,"ATP-binding cassette, subfamily B",SYNPCC7942_0082,ATPase,SYNPCC7942_RS00405,ATP-binding cassette domain-containing protein,Defense mechanisms,UPI0012DD3567,Op56,NC_007604.1,79232,81013,+
SYNPCC7942_RS00410,Synpcc7942_0083,SE_85,SE_85,hypothetical protein,SYNPCC7942_0083,hypothetical protein,SYNPCC7942_RS00410,hypothetical protein,No COG annotation,A0A0H3K2X7,Op56,NC_007604.1,81023,81220,+
SYNPCC7942_RS00415,Synpcc7942_0084,SE_86,SE_86,ATP-dependent Zn protease,SYNPCC7942_0084,conserved hypothetical protein,SYNPCC7942_RS00415,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q54731,Op56,NC_007604.1,81217,81918,+
SYNPCC7942_RS00420,Synpcc7942_0085,SE_87,SE_87,"haloacid dehalogenase superfamily, subfamily IA,variant 3 with third motif having DD or ED",SYNPCC7942_0085,"HAD-superfamily hydrolase subfamily IA, variant 3",SYNPCC7942_RS00420,HAD family phosphatase,Function unknown,Q31S52,Op57,NC_007604.1,82179,82865,-
SYNPCC7942_RS00425,Synpcc7942_0086,SE_88,glgX,isoamylase,glgX,glycogen debranching enzyme,glgX,glycogen debranching protein GlgX,Carbohydrate transport and metabolism,A0A0H3K623,Op57,NC_007604.1,82871,84955,-
SYNPCC7942_RS00430,Synpcc7942_0087,SE_89,SE_89,site-2 protease family protein,SYNPCC7942_0087,conserved hypothetical protein,SYNPCC7942_RS00430,site-2 protease family protein,Function unknown,Q31S50,Op57,NC_007604.1,84964,86475,-
SYNPCC7942_RS00435,Synpcc7942_0088,SE_90,SE_90,metallo-beta-lactamase,SYNPCC7942_0088,conserved hypothetical protein,SYNPCC7942_RS00435,hypothetical protein,Function unknown,A0A0H3K2X1,Op58,NC_007604.1,86547,87269,+
SYNPCC7942_RS00440,,SE_91,SE_91,hypothetical protein,SYNPCC7942_RS00440,SYNPCC7942_RS00440,SYNPCC7942_RS00440,hypothetical protein,No COG annotation,UPI0000460188,Op59,NC_007604.1,87494,87688,+
SYNPCC7942_RS00450,Synpcc7942_0089,SE_93,clcD,carboxymethylenebutenolidase,clcD1,Carboxymethylenebutenolidase,SYNPCC7942_RS00450,dienelactone hydrolase family protein,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0H3K9I3,Op60,NC_007604.1,87881,88615,-
SYNPCC7942_RS00455,Synpcc7942_0090,SE_94,SE_94,GntR family transcriptional regulator,gntR,"transcriptional regulator, GntR family",SYNPCC7942_RS00455,GntR family transcriptional regulator,Transcription,A0A0H3K3H2,Op61,NC_007604.1,88735,89718,+
SYNPCC7942_RS00460,Synpcc7942_0091,SE_95,ycf21,DUF98 domain-containing protein,ubiC,chorismate lyase,SYNPCC7942_RS00460,chorismate lyase,Coenzyme transport and metabolism,A0A0H3K619,Op62,NC_007604.1,89715,90326,-
SYNPCC7942_RS00465,Synpcc7942_0092,SE_96,SE_96,hypothetical protein,SYNPCC7942_0092,conserved hypothetical protein,SYNPCC7942_RS00465,hypothetical protein,No COG annotation,A0A0H3K2Z9,Op63,NC_007604.1,90583,90930,-
SYNPCC7942_RS00470,Synpcc7942_0093,SE_97,tmk,thymidylate kinase,tmk,Thymidylate kinase,tmk,dTMP kinase,Nucleotide transport and metabolism,Q31S44,Op64,NC_007604.1,91029,91676,+
SYNPCC7942_RS00475,Synpcc7942_0094,SE_98,dnaX,DNA polymerase III subunit delta',holB,"DNA polymerase III, delta prime subunit",SYNPCC7942_RS00475,DNA polymerase III subunit delta',"Replication, recombination and repair",Q31S43,Op64,NC_007604.1,91676,92611,+
SYNPCC7942_RS00480,Synpcc7942_0095,SE_99,rpaA,"two component transcriptional regulator, winged helix family",rpaA,Rpa-P RpaA response regulator,SYNPCC7942_RS00480,response regulator transcription factor,Transcription,Q31S42,Op65,NC_007604.1,92590,93339,-
SYNPCC7942_RS00490,Synpcc7942_0096,SE_101,Crm,"Crm, circadian rhythm modulator before gene, membrane protein",SYNPCC7942_0096,conserved hypothetical protein,SYNPCC7942_RS00490,DUF1269 domain-containing protein,Function unknown,A0A0H3K615,Op66,NC_007604.1,93764,94285,-
SYNPCC7942_RS00495,Synpcc7942_0097,SE_102,cobN,cobalamin biosynthesis protein CobN,cobN,"Cobaltochelatase, CobN subunit",cobN,cobaltochelatase subunit CobN,Coenzyme transport and metabolism,Q31S40,Op67,NC_007604.1,94375,98166,-
SYNPCC7942_RS00500,Synpcc7942_0098,SE_103,pyk2,pyruvate kinase,pyk,pyruvate kinase,pyk,pyruvate kinase,Carbohydrate transport and metabolism,A0A0H3K2W0,Op68,NC_007604.1,98302,100086,-
