locus_tag,old_locus_tag,gene_name,cycbio_gene_name,cycbio_gene_product,gene_product,COG,uniprot,start,end,strand
SYNPCC7942_RS00100,Synpcc7942_0019,sir,sir,"Sulfite reductase, ferredoxin dependent",sulfite reductase%2C ferredoxin dependent,Energy production and conversion,P30008,18615,20489,+
SYNPCC7942_RS00105,Synpcc7942_0020,SYNPCC7942_RS00105,SYNPCC7942_0020,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K9R7,20490,21092,+
SYNPCC7942_RS00110,Synpcc7942_0021,SYNPCC7942_RS00110,cobK,precorrin-6x reductase,cobalt-precorrin-6A reductase,Coenzyme transport and metabolism,A0A0H3K3N2,21134,21874,-
SYNPCC7942_RS00115,Synpcc7942_0022,SYNPCC7942_RS00115,SYNPCC7942_0022,conserved hypothetical protein,pentapeptide repeat-containing protein,Function unknown,Q31SB5,21880,23049,-
SYNPCC7942_RS00120,Synpcc7942_0023,cax,cax,calcium/proton exchanger,calcium/proton exchanger,Inorganic ion transport and metabolism,A0A0H3K375,23057,24121,-
SYNPCC7942_RS00125,Synpcc7942_0024,SYNPCC7942_RS00125,SYNPCC7942_0024,conserved hypothetical protein,DUF4336 domain-containing protein,Function unknown,Q31SB3,24181,25371,-
SYNPCC7942_RS00130,,SYNPCC7942_RS00130,SYNPCC7942_RS00130,SYNPCC7942_RS00130,alpha/beta hydrolase,Function unknown,Q31SB2,25416,27122,+
SYNPCC7942_RS00135,Synpcc7942_0026,SYNPCC7942_RS00135,SYNPCC7942_0026,conserved hypothetical protein,aldo/keto reductase,Energy production and conversion,A0A0H3K3M5,27082,28059,-
SYNPCC7942_RS00140,Synpcc7942_0027,SYNPCC7942_RS00140,bioF,8-amino-7-oxononanoate synthase,8-amino-7-oxononanoate synthase,Amino acid transport and metabolism,A0A0H3K680,28184,29350,+
SYNPCC7942_RS00145,Synpcc7942_0028,SYNPCC7942_RS00145,SYNPCC7942_0028,conserved hypothetical protein,alpha/beta hydrolase,Lipid transport and metabolism,Q31SA9,29347,30015,+
SYNPCC7942_RS00150,Synpcc7942_0029,SYNPCC7942_RS00150,bioC,BioC biotin biosynthesis protein,methyltransferase domain-containing protein,Function unknown,A0A0H3K326,30012,30833,+
SYNPCC7942_RS00155,Synpcc7942_0030,bioD,bioD,dethiobiotin synthase,dethiobiotin synthase,Coenzyme transport and metabolism,A0A0H3K9Q2,30839,31471,+
SYNPCC7942_RS00160,Synpcc7942_0031,bioA,bioA,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,adenosylmethionine--8-amino-7-oxononanoate transaminase,Coenzyme transport and metabolism,A0A0H3K3M1,31464,32738,+
SYNPCC7942_RS00165,Synpcc7942_0032,SYNPCC7942_RS00165,SYNPCC7942_0032,conserved hypothetical protein,DUF86 domain-containing protein,Function unknown,A0A0H3K674,32849,33202,-
SYNPCC7942_RS13645,Synpcc7942_0033,SYNPCC7942_RS13645,SYNPCC7942_RS13645,SYNPCC7942_RS13645,nucleotidyltransferase family protein,Function unknown,A0A0H3K362,33174,33506,-
SYNPCC7942_RS00170,,SYNPCC7942_RS00170,SYNPCC7942_RS00170,SYNPCC7942_RS00170,hypothetical protein,No COG annotation,UPI0005853E7E,33960,34289,+
SYNPCC7942_RS00175,Synpcc7942_0035,SYNPCC7942_RS00175,SYNPCC7942_0035,conserved hypothetical protein,hypothetical protein,No COG annotation,Q31SA2,34357,35115,-
SYNPCC7942_RS00180,,SYNPCC7942_RS00180,SYNPCC7942_RS00180,SYNPCC7942_RS00180,hypothetical protein,Function unknown,Q31SA1,35341,36126,+
SYNPCC7942_RS00185,Synpcc7942_0037,SYNPCC7942_RS00185,SYNPCC7942_0037,hypothetical protein,hypothetical protein,No COG annotation,Q31SA0,36123,36326,-
SYNPCC7942_RS00190,Synpcc7942_0038,SYNPCC7942_RS00190,mutT,mutator MutT protein,NUDIX hydrolase,Nucleotide transport and metabolism,Q31S99,36479,36955,+
SYNPCC7942_RS00195,Synpcc7942_0039,gndA,gnd,"6-phosphogluconate dehydrogenase, decarboxylating",NADP-dependent phosphogluconate dehydrogenase,Coenzyme transport and metabolism,P21577,37130,38545,+
SYNPCC7942_RS00200,Synpcc7942_0040,folB,folB,dihydroneopterin aldolase,dihydroneopterin aldolase,Coenzyme transport and metabolism,A0A0H3K353,38630,39007,+
SYNPCC7942_RS00205,Synpcc7942_0041,SYNPCC7942_RS00205,SYNPCC7942_0041,probable transport protein,transporter,Inorganic ion transport and metabolism,Q31S96,39441,40745,+
SYNPCC7942_RS00210,Synpcc7942_0042,SYNPCC7942_RS00210,rpmB,50S ribosomal subunit protein L28,50S ribosomal protein L28,"Translation, ribosomal structure and biogenesis",Q31S95,40855,41091,-
SYNPCC7942_RS00215,Synpcc7942_0043,SYNPCC7942_RS00215,SYNPCC7942_0043,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K9N6,41131,41496,-
SYNPCC7942_RS00220,Synpcc7942_0044,SYNPCC7942_RS00220,SYNPCC7942_0044,conserved hypothetical protein,FAD-dependent oxidoreductase,Amino acid transport and metabolism,Q31S93,41495,43477,+
SYNPCC7942_RS00225,Synpcc7942_0045,SYNPCC7942_RS00225,SYNPCC7942_0045,TPR repeat,tetratricopeptide repeat protein,Cell wall/membrane/envelope biogenesis,Q31S92,43572,44927,+
SYNPCC7942_RS00230,Synpcc7942_0046,SYNPCC7942_RS00230,SYNPCC7942_0046,methylase involved in ubiquinone/menaquinone biosynthesis,methyltransferase domain-containing protein,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0H3K346,45164,46507,+
SYNPCC7942_RS00235,Synpcc7942_0047,SYNPCC7942_RS00235,SYNPCC7942_0047,TPR repeat,exostosin family protein,Cell wall/membrane/envelope biogenesis,Q31S90,46515,48881,+
SYNPCC7942_RS00240,,SYNPCC7942_RS00240,SYNPCC7942_RS00240,SYNPCC7942_RS00240,prepilin-type N-terminal cleavage/methylation domain-containing protein,"Intracellular trafficking, secretion, and vesicular transport",Q31S89,48927,49361,-
SYNPCC7942_RS00245,,SYNPCC7942_RS00245,SYNPCC7942_RS00245,SYNPCC7942_RS00245,prepilin-type N-terminal cleavage/methylation domain-containing protein,"Intracellular trafficking, secretion, and vesicular transport",Q31S88,49550,49984,-
SYNPCC7942_RS00250,Synpcc7942_0050,SYNPCC7942_RS00250,SYNPCC7942_0050,conserved hypothetical protein,glycosyltransferase,Cell wall/membrane/envelope biogenesis,A0A0H3K654,50070,52616,+
SYNPCC7942_RS00255,Synpcc7942_0051,SYNPCC7942_RS00255,SYNPCC7942_0051,TPR repeat,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q31S86,52606,54507,-
SYNPCC7942_RS00260,Synpcc7942_0052,SYNPCC7942_RS00260,SYNPCC7942_0052,conserved hypothetical protein,methyltransferase domain-containing protein,Function unknown,A0A0H3K305,54512,55030,-
SYNPCC7942_RS00265,Synpcc7942_0053,SYNPCC7942_RS00265,SYNPCC7942_0053,conserved hypothetical protein,glycosyltransferase family 2 protein,"Post-translational modification, protein turnover,and chaperones",A0A0H3K9M2,55204,56352,-
SYNPCC7942_RS00270,Synpcc7942_0054,SYNPCC7942_RS00270,SYNPCC7942_0054,conserved hypothetical protein,cephalosporin hydroxylase family protein,Defense mechanisms,A0A0H3K3K5,56423,57190,-
SYNPCC7942_RS00275,Synpcc7942_0055,SYNPCC7942_RS00275,SYNPCC7942_0055,hypothetical protein,GNAT family N-acetyltransferase,"Translation, ribosomal structure and biogenesis",Q31S82,57223,57906,-
SYNPCC7942_RS00280,Synpcc7942_0056,SYNPCC7942_RS00280,rfbE,perosamine synthetase,DegT/DnrJ/EryC1/StrS aminotransferase family protein,Cell wall/membrane/envelope biogenesis,Q31S81,57941,59068,-
SYNPCC7942_RS00285,Synpcc7942_0057,SYNPCC7942_RS00285,SYNPCC7942_0057,putative C-3 methyl transferase,class I SAM-dependent methyltransferase,Coenzyme transport and metabolism,A0A0H3K337,59072,60304,-
SYNPCC7942_RS00290,Synpcc7942_0058,rfbC,rfbC1,"dTDP-4-dehydrorhamnose 3,5-epimerase",dTDP-4-dehydrorhamnose 3%2C5-epimerase,Cell wall/membrane/envelope biogenesis,A0A0H3K2Z8,60301,60846,-
SYNPCC7942_RS00295,Synpcc7942_0059,SYNPCC7942_RS00295,SYNPCC7942_0059,hypothetical protein,hypothetical protein,No COG annotation,Q31S78,60867,61112,-
SYNPCC7942_RS00300,Synpcc7942_0060,SYNPCC7942_RS00300,SYNPCC7942_0060,hypothetical protein,hypothetical protein,No COG annotation,UPI0000460194,61091,61360,-
SYNPCC7942_RS00305,Synpcc7942_0061,rfbG,rfbG,"CDP-glucose 4,6-dehydratase",CDP-glucose 4%2C6-dehydratase,Cell wall/membrane/envelope biogenesis,Q31S76,61366,62472,-
SYNPCC7942_RS00310,Synpcc7942_0062,rfbF,rfbF,glucose-1-phosphate cytidylyltransferase,glucose-1-phosphate cytidylyltransferase,"Translation, ribosomal structure and biogenesis",A0A0H3K3J8,62469,63242,-
SYNPCC7942_RS00315,Synpcc7942_0063,SYNPCC7942_RS00315,SYNPCC7942_0063,dual specificity protein phosphatase,dual specificity protein phosphatase family protein,Signal transduction mechanisms,A0A0H3K642,64266,64706,-
SYNPCC7942_RS13650,,SYNPCC7942_RS13650,SYNPCC7942_RS13650,SYNPCC7942_RS13650,DUF2887 domain-containing protein,Function unknown,,64754,64870,-
SYNPCC7942_RS00320,Synpcc7942_0065,SYNPCC7942_RS00320,infC,translation initiation factor IF-3,translation initiation factor IF-3,"Translation, ribosomal structure and biogenesis",A0A0H3K328,64987,65541,-
SYNPCC7942_RS00325,Synpcc7942_0066,SYNPCC7942_RS00325,SYNPCC7942_0066,"ABC type transporter, putative component",Gldg family protein,Cell motility,A0A0H3K2Z4,65658,67172,-
SYNPCC7942_RS00330,Synpcc7942_0067,SYNPCC7942_RS00330,SYNPCC7942_0067,"ABC type transporter, permease component",ABC transporter permease subunit,Function unknown,A0A0H3K9K6,67177,67986,-
SYNPCC7942_RS00335,Synpcc7942_0068,SYNPCC7942_RS00335,SYNPCC7942_0068,"ABC type transporter, ATPase component",ABC transporter ATP-binding protein,Defense mechanisms,A0A0H3K3J3,67991,68944,-
SYNPCC7942_RS00340,Synpcc7942_0069,SYNPCC7942_RS00340,SYNPCC7942_0069,hypothetical protein,hypothetical protein,No COG annotation,Q31S68,69079,69375,+
SYNPCC7942_RS00345,Synpcc7942_0070,SYNPCC7942_RS00345,SYNPCC7942_0070,conserved hypothetical protein,pyridoxamine 5'-phosphate oxidase family protein,Function unknown,A0A0H3K634,69378,69938,-
SYNPCC7942_RS00350,Synpcc7942_0071,SYNPCC7942_RS00350,SYNPCC7942_0071,pleiotropic regulatory protein,DegT/DnrJ/EryC1/StrS family aminotransferase,Amino acid transport and metabolism,A0A0H3K324,69940,71139,-
SYNPCC7942_RS00355,Synpcc7942_0072,SYNPCC7942_RS00355,SYNPCC7942_0072,conserved hypothetical protein,DUF1997 domain-containing protein,"Replication, recombination and repair",A0A0H3K2Y8,71307,71960,-
SYNPCC7942_RS00360,Synpcc7942_0073,SYNPCC7942_RS00360,ispH,hydroxymethylbutenyl pyrophosphate reductase,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,Lipid transport and metabolism,Q31S64,72000,73196,-
SYNPCC7942_RS00365,Synpcc7942_0074,SYNPCC7942_RS00365,SYNPCC7942_0074,conserved hypothetical protein,hypothetical protein,No COG annotation,Q31S63,73306,73659,-
SYNPCC7942_RS00370,Synpcc7942_0075,SYNPCC7942_RS00370,pepP,aminopeptidase P,aminopeptidase P N-terminal domain-containing protein,Amino acid transport and metabolism,A0A0H3K3I6,73775,75088,+
SYNPCC7942_RS00375,Synpcc7942_0076,SYNPCC7942_RS00375,SYNPCC7942_0076,"extracellular solute-binding protein, family 3",transporter substrate-binding domain-containing protein,Amino acid transport and metabolism,A0A0H3K631,75091,75852,+
SYNPCC7942_RS00380,Synpcc7942_0077,SYNPCC7942_RS00380,SYNPCC7942_0077,"transcriptional regulator, XRE family",helix-turn-helix domain-containing protein,No COG annotation,A0A0H3K316,75928,76617,+
SYNPCC7942_RS00385,Synpcc7942_0078,SYNPCC7942_RS00385,SYNPCC7942_0078,Protein of unknown function UPF0047,YjbQ family protein,Function unknown,A0A0H3K2Y3,76614,77063,-
SYNPCC7942_RS00390,Synpcc7942_0079,SYNPCC7942_RS00390,SYNPCC7942_0079,conserved hypothetical protein YCF41,single-stranded DNA-binding protein,"Replication, recombination and repair",A0A0H3K9J4,77138,77584,-
SYNPCC7942_RS00395,Synpcc7942_0080,SYNPCC7942_RS00395,SYNPCC7942_0080,probable ABC transporter permease protein,ABC transporter permease,Defense mechanisms,A0A0H3K3I1,77648,78871,-
SYNPCC7942_RS00400,Synpcc7942_0081,SYNPCC7942_RS00400,SYNPCC7942_0081,RNA-binding S4,RNA-binding S4 domain-containing protein,Function unknown,Q31S56,78987,79196,-
SYNPCC7942_RS00405,Synpcc7942_0082,SYNPCC7942_RS00405,SYNPCC7942_0082,ATPase,ATP-binding cassette domain-containing protein,Defense mechanisms,UPI0012DD3567,79232,81013,+
SYNPCC7942_RS00410,Synpcc7942_0083,SYNPCC7942_RS00410,SYNPCC7942_0083,hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K2X7,81023,81220,+
SYNPCC7942_RS00415,Synpcc7942_0084,SYNPCC7942_RS00415,SYNPCC7942_0084,conserved hypothetical protein,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q54731,81217,81918,+
SYNPCC7942_RS00420,Synpcc7942_0085,SYNPCC7942_RS00420,SYNPCC7942_0085,"HAD-superfamily hydrolase subfamily IA, variant 3",HAD family phosphatase,Function unknown,Q31S52,82179,82865,-
SYNPCC7942_RS00425,Synpcc7942_0086,glgX,glgX,glycogen debranching enzyme,glycogen debranching protein GlgX,Carbohydrate transport and metabolism,A0A0H3K623,82871,84955,-
SYNPCC7942_RS00430,Synpcc7942_0087,SYNPCC7942_RS00430,SYNPCC7942_0087,conserved hypothetical protein,site-2 protease family protein,Function unknown,Q31S50,84964,86475,-
SYNPCC7942_RS00435,Synpcc7942_0088,SYNPCC7942_RS00435,SYNPCC7942_0088,conserved hypothetical protein,hypothetical protein,Function unknown,A0A0H3K2X1,86547,87269,+
SYNPCC7942_RS00440,,SYNPCC7942_RS00440,SYNPCC7942_RS00440,SYNPCC7942_RS00440,hypothetical protein,No COG annotation,UPI0000460188,87494,87688,+
SYNPCC7942_RS00450,Synpcc7942_0089,SYNPCC7942_RS00450,clcD1,Carboxymethylenebutenolidase,dienelactone hydrolase family protein,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0H3K9I3,87881,88615,-
SYNPCC7942_RS00455,Synpcc7942_0090,SYNPCC7942_RS00455,gntR,"transcriptional regulator, GntR family",GntR family transcriptional regulator,Transcription,A0A0H3K3H2,88735,89718,+
SYNPCC7942_RS00460,Synpcc7942_0091,SYNPCC7942_RS00460,ubiC,chorismate lyase,chorismate lyase,Coenzyme transport and metabolism,A0A0H3K619,89715,90326,-
SYNPCC7942_RS00465,Synpcc7942_0092,SYNPCC7942_RS00465,SYNPCC7942_0092,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K2Z9,90583,90930,-
SYNPCC7942_RS00470,Synpcc7942_0093,tmk,tmk,Thymidylate kinase,dTMP kinase,Nucleotide transport and metabolism,Q31S44,91029,91676,+
SYNPCC7942_RS00475,Synpcc7942_0094,SYNPCC7942_RS00475,holB,"DNA polymerase III, delta prime subunit",DNA polymerase III subunit delta',"Replication, recombination and repair",Q31S43,91676,92611,+
SYNPCC7942_RS00480,Synpcc7942_0095,SYNPCC7942_RS00480,rpaA,Rpa-P RpaA response regulator,response regulator transcription factor,Transcription,Q31S42,92590,93339,-
SYNPCC7942_RS00490,Synpcc7942_0096,SYNPCC7942_RS00490,SYNPCC7942_0096,conserved hypothetical protein,DUF1269 domain-containing protein,Function unknown,A0A0H3K615,93764,94285,-
SYNPCC7942_RS00495,Synpcc7942_0097,cobN,cobN,"Cobaltochelatase, CobN subunit",cobaltochelatase subunit CobN,Coenzyme transport and metabolism,Q31S40,94375,98166,-
SYNPCC7942_RS00500,Synpcc7942_0098,pyk,pyk,pyruvate kinase,pyruvate kinase,Carbohydrate transport and metabolism,A0A0H3K2W0,98302,100086,-
SYNPCC7942_RS00505,Synpcc7942_0099,SYNPCC7942_RS00505,SYNPCC7942_0099,hypothetical protein,nucleoside triphosphate pyrophosphohydrolase family protein,Function unknown,A0A0H3K9H3,100202,100531,+
SYNPCC7942_RS00510,Synpcc7942_0100,SYNPCC7942_RS00510,SYNPCC7942_0100,conserved hypothetical protein,hypothetical protein,No COG annotation,Q31S37,100528,101082,-
SYNPCC7942_RS00515,Synpcc7942_0101,SYNPCC7942_RS00515,ndbA,type 2 NADH dehydrogenase NdbA monomer,NAD(P)/FAD-dependent oxidoreductase,Energy production and conversion,Q31S36,101259,102593,+
SYNPCC7942_RS00520,Synpcc7942_0102,SYNPCC7942_RS00520,SYNPCC7942_0102,conserved hypothetical protein,Uma2 family endonuclease,Function unknown,Q31S35,102674,103237,+
SYNPCC7942_RS00525,Synpcc7942_0103,SYNPCC7942_RS00525,arpA,Ankyrin,ankyrin repeat domain-containing protein,Carbohydrate transport and metabolism,A0A0H3K2V4,103268,103645,-
SYNPCC7942_RS00530,Synpcc7942_0104,SYNPCC7942_RS00530,SYNPCC7942_0104,hypothetical protein,hypothetical protein,No COG annotation,UPI0005858984,103632,104456,-
SYNPCC7942_RS00535,Synpcc7942_0105,SYNPCC7942_RS00535,nadE,NAD+ synthetase,NAD+ synthase,Coenzyme transport and metabolism,Q31S32,104653,106377,-
SYNPCC7942_RS00540,Synpcc7942_0106,SYNPCC7942_RS00540,nadD,probable nicotinate-nucleotide adenylyltransferase,nicotinate-nucleotide adenylyltransferase,Coenzyme transport and metabolism,A0A0H3K602,106374,106952,-
SYNPCC7942_RS00545,Synpcc7942_0107,SYNPCC7942_RS00545,SYNPCC7942_0107,Small GTP-binding protein domain,DUF697 domain-containing protein,Function unknown,Q31S30,106965,108383,-
SYNPCC7942_RS00550,Synpcc7942_0108,SYNPCC7942_RS00550,parB,ParB-like nuclease,ParB N-terminal domain-containing protein,Function unknown,A0A0H3K2U9,108556,108816,+
SYNPCC7942_RS00555,Synpcc7942_0109,SYNPCC7942_RS00555,SYNPCC7942_0109,DNA-binding ferritin-like protein (oxidative damage protectant),DNA starvation/stationary phase protection protein,Inorganic ion transport and metabolism,Q31S28,108877,109383,+
SYNPCC7942_RS00560,Synpcc7942_0110,SYNPCC7942_RS00560,SYNPCC7942_0110,"transcriptional regulator, XRE family",helix-turn-helix transcriptional regulator,Transcription,Q31S27,109390,109947,+
SYNPCC7942_RS00565,Synpcc7942_0111,SYNPCC7942_RS00565,dnaK4,DnaK protein-like,Hsp70 family protein,"Post-translational modification, protein turnover,and chaperones",Q31S26,110012,111607,+
SYNPCC7942_RS00570,Synpcc7942_0112,SYNPCC7942_RS00570,phrA,Deoxyribodipyrimidine photolyase,deoxyribodipyrimidine photo-lyase%2C 8-HDF type,Coenzyme transport and metabolism,Q31S25,111686,113140,+
SYNPCC7942_RS00575,Synpcc7942_0113,petL,SYNPCC7942_0113,hypothetical protein,cytochrome b6-f complex subunit PetL,No COG annotation,A0A0H3K2X3,113196,113288,+
SYNPCC7942_RS00580,Synpcc7942_0114,SYNPCC7942_RS00580,SYNPCC7942_0114,hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K2U3,113327,113698,+
SYNPCC7942_RS13655,Synpcc7942_0115,SYNPCC7942_RS13655,SYNPCC7942_RS13655,SYNPCC7942_RS13655,cupin domain-containing protein,Cell wall/membrane/envelope biogenesis,Q31S22,113631,114146,-
SYNPCC7942_RS00585,Synpcc7942_0116,SYNPCC7942_RS00585,scrK,fructokinase,carbohydrate kinase,Carbohydrate transport and metabolism,A0A0H3K3E5,114299,115273,+
SYNPCC7942_RS13660,Synpcc7942_0117,SYNPCC7942_RS13660,SYNPCC7942_RS13660,SYNPCC7942_RS13660,hypothetical protein,No COG annotation,A0A0H3K5Y8,115391,116722,+
SYNPCC7942_RS00590,Synpcc7942_0118,gatB,gatB,"glutamyl-tRNA(Gln) amidotransferase, B subunit",Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,"Translation, ribosomal structure and biogenesis",Q31S19,116943,118427,+
SYNPCC7942_RS00595,,SYNPCC7942_RS00595,SYNPCC7942_RS00595,SYNPCC7942_RS00595,nitrate/nitrite transporter NrtS,No COG annotation,UPI0009D6DEA7,118503,118793,+
SYNPCC7942_RS00600,Synpcc7942_0119,SYNPCC7942_RS00600,SYNPCC7942_0119,hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K2T7,118735,119292,-
SYNPCC7942_RS00605,Synpcc7942_0120,SYNPCC7942_RS00605,SYNPCC7942_0120,Cytosine adenosine deaminases-like,nucleoside deaminase,Nucleotide transport and metabolism,Q31S17,119508,119993,-
SYNPCC7942_RS00610,Synpcc7942_0121,SYNPCC7942_RS00610,SYNPCC7942_0121,conserved hypothetical protein,hypothetical protein,Function unknown,Q31S16,120013,121239,-
SYNPCC7942_RS00620,Synpcc7942_0122,SYNPCC7942_RS00620,SYNPCC7942_0122,EAL-domain protein,EAL domain-containing protein,Signal transduction mechanisms,A0A0H3K5Y4,121831,123408,-
SYNPCC7942_RS00630,Synpcc7942_0124,SYNPCC7942_RS00630,SYNPCC7942_0124,thiol methyltransferase 1-like,methyltransferase domain-containing protein,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0H3K2V9,124070,124669,-
SYNPCC7942_RS00635,Synpcc7942_0125,hisB,hisB,Imidazoleglycerol-phosphate dehydratase,imidazoleglycerol-phosphate dehydratase HisB,Amino acid transport and metabolism,Q31S12,124738,125367,-
SYNPCC7942_RS00640,Synpcc7942_0126,fabI,fabI,enoyl-(acyl-carrier-protein) reductase,enoyl-ACP reductase FabI,Lipid transport and metabolism,Q31S11,125382,126158,-
SYNPCC7942_RS00645,Synpcc7942_0127,ntcA,ntcA,NtcA global nitrogen regulator,global nitrogen regulator NtcA,Transcription,UPI0000130572,126390,127058,+
SYNPCC7942_RS00650,Synpcc7942_0128,SYNPCC7942_RS00650,SYNPCC7942_0128,conserved hypothetical protein,DUF3084 domain-containing protein,Function unknown,A0A0H3K3D6,127151,128449,+
SYNPCC7942_RS00655,Synpcc7942_0129,ruvX,SYNPCC7942_0129,"Resolvase, RNase H-like fold",pre-16S rRNA-processing nuclease YqgF,"Replication, recombination and repair",A0A0H3K5X8,128446,128877,+
SYNPCC7942_RS00660,Synpcc7942_0130,SYNPCC7942_RS00660,SYNPCC7942_0130,hypothetical protein,hypothetical protein,No COG annotation,Q31S07,128822,129409,-
SYNPCC7942_RS00665,Synpcc7942_0131,SYNPCC7942_RS00665,SYNPCC7942_0131,cyclic nucleotide-binding domain (cNMP-BD) protein,cyclic nucleotide-binding domain-containing protein,Energy production and conversion,Q31S06,129670,132495,-
SYNPCC7942_RS00670,Synpcc7942_0132,SYNPCC7942_RS00670,SYNPCC7942_0132,conserved hypothetical protein,FAD-dependent oxidoreductase,Function unknown,Q31S05,132721,133770,-
SYNPCC7942_RS00675,Synpcc7942_0133,SYNPCC7942_RS00675,SYNPCC7942_0133,conserved hypothetical protein,hypothetical protein,Function unknown,Q31S04,133915,134754,+
SYNPCC7942_RS00680,Synpcc7942_0134,SYNPCC7942_RS00680,SYNPCC7942_0134,hypothetical protein,O-antigen ligase family protein,Cell wall/membrane/envelope biogenesis,UPI0012DF953E,134859,136052,+
SYNPCC7942_RS00685,Synpcc7942_0135,SYNPCC7942_RS00685,SYNPCC7942_0135,Methylase involved in ubiquinone/menaquinone biosynthesis,methyltransferase domain-containing protein,Coenzyme transport and metabolism,A0A0H3K5X1,136016,136651,-
