locus_tag,gene_name,start,end,strand,gene_product,uniprot,COG,KEGG_ko
SYNPCC7942_RS00155,bioD,30839,31471,+,dethiobiotin synthase,A0A0H3K9Q2,H,K01935
SYNPCC7942_RS00160,bioA,31464,32738,+,adenosylmethionine--8-amino-7-oxononanoate transaminase,A0A0H3K3M1,H,K00833
SYNPCC7942_RS00165,SYNPCC7942_RS00165,32849,33202,-,DUF86 domain-containing protein,A0A0H3K674,S,
SYNPCC7942_RS13645,SYNPCC7942_RS13645,33174,33506,-,nucleotidyltransferase family protein,A0A0H3K362,S,K07075
SYNPCC7942_RS00170,SYNPCC7942_RS00170,33960,34289,+,hypothetical protein,UPI0005853E7E,X,
SYNPCC7942_RS00175,SYNPCC7942_RS00175,34357,35115,-,hypothetical protein,Q31SA2,X,
SYNPCC7942_RS00180,SYNPCC7942_RS00180,35341,36126,+,hypothetical protein,Q31SA1,S,
SYNPCC7942_RS00185,SYNPCC7942_RS00185,36123,36326,-,hypothetical protein,Q31SA0,X,
SYNPCC7942_RS00190,SYNPCC7942_RS00190,36479,36955,+,NUDIX domain-containing protein,Q31S99,F,
SYNPCC7942_RS00195,gndA,37130,38545,+,NADP-dependent phosphogluconate dehydrogenase,P21577,H,K00033
SYNPCC7942_RS00200,folB,38630,39007,+,dihydroneopterin aldolase,A0A0H3K353,H,K01633
SYNPCC7942_RS00205,SYNPCC7942_RS00205,39441,40745,+,transporter,Q31S96,P,
SYNPCC7942_RS00210,SYNPCC7942_RS00210,40855,41091,-,50S ribosomal protein L28,Q31S95,J,K02902
SYNPCC7942_RS00215,SYNPCC7942_RS00215,41131,41496,-,hypothetical protein,A0A0H3K9N6,X,
SYNPCC7942_RS00220,SYNPCC7942_RS00220,41495,43477,+,FAD-dependent oxidoreductase,Q31S93,E,
SYNPCC7942_RS00225,SYNPCC7942_RS00225,43572,44927,+,tetratricopeptide repeat protein,Q31S92,M,
SYNPCC7942_RS00230,SYNPCC7942_RS00230,45164,46507,+,methyltransferase domain-containing protein,A0A0H3K346,Q,
SYNPCC7942_RS00235,SYNPCC7942_RS00235,46515,48881,+,tetratricopeptide repeat protein,Q31S90,M,
SYNPCC7942_RS00240,SYNPCC7942_RS00240,48927,49361,-,prepilin-type N-terminal cleavage/methylation domain-containing protein,Q31S89,U,K02650
SYNPCC7942_RS00245,SYNPCC7942_RS00245,49550,49984,-,prepilin-type N-terminal cleavage/methylation domain-containing protein,Q31S88,U,K02650
SYNPCC7942_RS00250,SYNPCC7942_RS00250,50070,52616,+,glycosyltransferase,A0A0H3K654,M,
SYNPCC7942_RS00255,SYNPCC7942_RS00255,52606,54507,-,hypothetical protein,Q31S86,O,
SYNPCC7942_RS00260,SYNPCC7942_RS00260,54512,55030,-,methyltransferase domain-containing protein,A0A0H3K305,S,
SYNPCC7942_RS00265,SYNPCC7942_RS00265,55204,56352,-,glycosyltransferase family 2 protein,A0A0H3K9M2,O,
SYNPCC7942_RS00270,SYNPCC7942_RS00270,56423,57190,-,cephalosporin hydroxylase,A0A0H3K3K5,V,
SYNPCC7942_RS00275,SYNPCC7942_RS00275,57223,57906,-,GNAT family N-acetyltransferase,Q31S82,J,
SYNPCC7942_RS00280,SYNPCC7942_RS00280,57941,59068,-,DegT/DnrJ/EryC1/StrS aminotransferase family protein,Q31S81,M,"K12452,ko:K13010"
SYNPCC7942_RS00285,SYNPCC7942_RS00285,59072,60304,-,class I SAM-dependent methyltransferase,A0A0H3K337,H,
SYNPCC7942_RS00290,rfbC,60301,60846,-,dTDP-4-dehydrorhamnose 3%2C5-epimerase,A0A0H3K2Z8,M,K01790
SYNPCC7942_RS00295,SYNPCC7942_RS00295,60867,61112,-,hypothetical protein,Q31S78,X,
SYNPCC7942_RS00300,SYNPCC7942_RS00300,61091,61360,-,hypothetical protein,UPI0000460194,X,
SYNPCC7942_RS00305,rfbG,61366,62472,-,CDP-glucose 4%2C6-dehydratase,Q31S76,M,K01709
SYNPCC7942_RS00310,rfbF,62469,63242,-,glucose-1-phosphate cytidylyltransferase,A0A0H3K3J8,J,K00978
SYNPCC7942_RS00315,SYNPCC7942_RS00315,64266,64706,-,dual specificity protein phosphatase family protein,A0A0H3K642,T,
SYNPCC7942_RS13650,SYNPCC7942_RS13650,64754,64870,-,DUF2887 domain-containing protein,,S,
SYNPCC7942_RS00320,SYNPCC7942_RS00320,64987,65541,-,translation initiation factor IF-3,A0A0H3K328,J,K02520
SYNPCC7942_RS00325,SYNPCC7942_RS00325,65658,67172,-,hypothetical protein,A0A0H3K2Z4,N,
SYNPCC7942_RS00330,SYNPCC7942_RS00330,67177,67986,-,ABC transporter permease subunit,A0A0H3K9K6,S,K01992
SYNPCC7942_RS00335,SYNPCC7942_RS00335,67991,68944,-,ABC transporter ATP-binding protein,A0A0H3K3J3,V,K01990
SYNPCC7942_RS00340,SYNPCC7942_RS00340,69079,69375,+,hypothetical protein,Q31S68,X,
SYNPCC7942_RS00345,SYNPCC7942_RS00345,69378,69938,-,hypothetical protein,A0A0H3K634,S,K00275
SYNPCC7942_RS00350,SYNPCC7942_RS00350,69940,71139,-,DegT/DnrJ/EryC1/StrS family aminotransferase,A0A0H3K324,E,
SYNPCC7942_RS00355,SYNPCC7942_RS00355,71307,71960,-,DUF1997 domain-containing protein,A0A0H3K2Y8,L,
SYNPCC7942_RS00360,SYNPCC7942_RS00360,72000,73196,-,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,Q31S64,I,K03527
SYNPCC7942_RS00365,SYNPCC7942_RS00365,73306,73659,-,hypothetical protein,Q31S63,X,
SYNPCC7942_RS00370,SYNPCC7942_RS00370,73775,75088,+,M24 family metallopeptidase,A0A0H3K3I6,E,K01262
SYNPCC7942_RS00375,SYNPCC7942_RS00375,75091,75852,+,transporter substrate-binding domain-containing protein,A0A0H3K631,E,K02030
SYNPCC7942_RS00380,SYNPCC7942_RS00380,75928,76617,+,helix-turn-helix domain-containing protein,A0A0H3K316,X,
SYNPCC7942_RS00385,SYNPCC7942_RS00385,76614,77063,-,YjbQ family protein,A0A0H3K2Y3,S,
SYNPCC7942_RS00390,SYNPCC7942_RS00390,77138,77584,-,single-stranded DNA-binding protein,A0A0H3K9J4,L,
SYNPCC7942_RS00395,SYNPCC7942_RS00395,77648,78871,-,FtsX-like permease family protein,A0A0H3K3I1,V,K02004
SYNPCC7942_RS00400,SYNPCC7942_RS00400,78987,79196,-,RNA-binding S4 domain-containing protein,Q31S56,S,K14761
SYNPCC7942_RS00405,SYNPCC7942_RS00405,79232,81013,+,ATP-binding cassette domain-containing protein,UPI0012DD3567,V,K06147
SYNPCC7942_RS00410,SYNPCC7942_RS00410,81023,81220,+,hypothetical protein,A0A0H3K2X7,X,
SYNPCC7942_RS00415,SYNPCC7942_RS00415,81217,81918,+,hypothetical protein,Q54731,O,
SYNPCC7942_RS00420,SYNPCC7942_RS00420,82179,82865,-,HAD family phosphatase,Q31S52,S,
SYNPCC7942_RS00425,glgX,82871,84955,-,glycogen debranching protein GlgX,A0A0H3K623,G,K01214
SYNPCC7942_RS00430,SYNPCC7942_RS00430,84964,86475,-,site-2 protease family protein,Q31S50,S,
SYNPCC7942_RS00435,SYNPCC7942_RS00435,86547,87269,+,hypothetical protein,A0A0H3K2X1,S,
SYNPCC7942_RS00440,SYNPCC7942_RS00440,87494,87688,+,hypothetical protein,UPI0000460188,X,
SYNPCC7942_RS00450,SYNPCC7942_RS00450,87881,88615,-,carboxymethylenebutenolidase,A0A0H3K9I3,Q,K01061
SYNPCC7942_RS00455,SYNPCC7942_RS00455,88735,89718,+,GntR family transcriptional regulator,A0A0H3K3H2,K,K07978
SYNPCC7942_RS00460,SYNPCC7942_RS00460,89715,90326,-,DUF98 domain-containing protein,A0A0H3K619,H,K03181
SYNPCC7942_RS00465,SYNPCC7942_RS00465,90583,90930,-,hypothetical protein,A0A0H3K2Z9,X,
SYNPCC7942_RS00470,tmk,91029,91676,+,dTMP kinase,Q31S44,F,K00943
SYNPCC7942_RS00475,SYNPCC7942_RS00475,91676,92611,+,DNA polymerase III subunit delta',Q31S43,L,K02341
SYNPCC7942_RS00480,SYNPCC7942_RS00480,92590,93339,-,response regulator transcription factor,Q31S42,K,K10697
SYNPCC7942_RS00490,SYNPCC7942_RS00490,93764,94285,-,DUF1269 domain-containing protein,A0A0H3K615,S,
SYNPCC7942_RS00495,cobN,94375,98166,-,cobaltochelatase subunit CobN,Q31S40,H,K02230
SYNPCC7942_RS00500,pyk,98302,100086,-,pyruvate kinase,A0A0H3K2W0,G,K00873
SYNPCC7942_RS00505,SYNPCC7942_RS00505,100202,100531,+,nucleoside triphosphate pyrophosphohydrolase family protein,A0A0H3K9H3,S,
SYNPCC7942_RS00510,SYNPCC7942_RS00510,100528,101082,-,hypothetical protein,Q31S37,X,
SYNPCC7942_RS00515,SYNPCC7942_RS00515,101259,102593,+,NAD(P)/FAD-dependent oxidoreductase,Q31S36,C,K03885
SYNPCC7942_RS00520,SYNPCC7942_RS00520,102674,103237,+,Uma2 family endonuclease,Q31S35,S,
SYNPCC7942_RS00525,SYNPCC7942_RS00525,103268,103645,-,ankyrin repeat domain-containing protein,A0A0H3K2V4,G,
SYNPCC7942_RS00530,SYNPCC7942_RS00530,103632,104456,-,hypothetical protein,UPI0005858984,X,
SYNPCC7942_RS00535,SYNPCC7942_RS00535,104653,106377,-,NAD+ synthase,Q31S32,H,"K01916,ko:K01950"
SYNPCC7942_RS00540,SYNPCC7942_RS00540,106374,106952,-,nicotinate-nucleotide adenylyltransferase,A0A0H3K602,H,K00969
SYNPCC7942_RS00545,SYNPCC7942_RS00545,106965,108383,-,DUF697 domain-containing protein,Q31S30,S,K06883
SYNPCC7942_RS00550,SYNPCC7942_RS00550,108556,108816,+,ParB N-terminal domain-containing protein,A0A0H3K2U9,S,
SYNPCC7942_RS00555,SYNPCC7942_RS00555,108877,109383,+,DNA starvation/stationary phase protection protein,Q31S28,P,K04047
SYNPCC7942_RS00560,SYNPCC7942_RS00560,109390,109947,+,helix-turn-helix transcriptional regulator,Q31S27,K,
SYNPCC7942_RS00565,SYNPCC7942_RS00565,110012,111607,+,Hsp70 family protein,Q31S26,O,
SYNPCC7942_RS00570,SYNPCC7942_RS00570,111686,113140,+,deoxyribodipyrimidine photo-lyase%2C 8-HDF type,Q31S25,H,K01669
SYNPCC7942_RS00575,petL,113196,113288,+,cytochrome b6-f complex subunit PetL,A0A0H3K2X3,X,
SYNPCC7942_RS00580,SYNPCC7942_RS00580,113327,113698,+,hypothetical protein,A0A0H3K2U3,X,
SYNPCC7942_RS13655,SYNPCC7942_RS13655,113631,114146,-,hypothetical protein,Q31S22,M,
SYNPCC7942_RS00585,SYNPCC7942_RS00585,114299,115273,+,carbohydrate kinase,A0A0H3K3E5,G,K00847
SYNPCC7942_RS13660,SYNPCC7942_RS13660,115391,116722,+,hypothetical protein,A0A0H3K5Y8,X,
SYNPCC7942_RS00590,gatB,116943,118427,+,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,Q31S19,J,K02434
SYNPCC7942_RS00595,SYNPCC7942_RS00595,118503,118793,+,hypothetical protein,UPI0009D6DEA7,X,
SYNPCC7942_RS00600,SYNPCC7942_RS00600,118735,119292,-,hypothetical protein,A0A0H3K2T7,X,
SYNPCC7942_RS00605,SYNPCC7942_RS00605,119508,119993,-,nucleoside deaminase,Q31S17,F,
SYNPCC7942_RS00610,SYNPCC7942_RS00610,120013,121239,-,hypothetical protein,Q31S16,S,
SYNPCC7942_RS00620,SYNPCC7942_RS00620,121831,123408,-,EAL domain-containing protein,A0A0H3K5Y4,T,
SYNPCC7942_RS00630,SYNPCC7942_RS00630,124070,124669,-,methyltransferase domain-containing protein,A0A0H3K2V9,Q,K00569
SYNPCC7942_RS00635,hisB,124738,125367,-,imidazoleglycerol-phosphate dehydratase HisB,Q31S12,E,K01693
SYNPCC7942_RS00640,fabI,125382,126158,-,enoyl-ACP reductase FabI,Q31S11,I,K00208
SYNPCC7942_RS00645,ntcA,126390,127058,+,global nitrogen regulator NtcA,UPI0000130572,K,K21561
SYNPCC7942_RS00650,SYNPCC7942_RS00650,127151,128449,+,DUF3084 domain-containing protein,A0A0H3K3D6,S,
SYNPCC7942_RS00655,ruvX,128446,128877,+,pre-16S rRNA-processing nuclease YqgF,A0A0H3K5X8,L,
SYNPCC7942_RS00660,SYNPCC7942_RS00660,128822,129409,-,hypothetical protein,Q31S07,X,
SYNPCC7942_RS00665,SYNPCC7942_RS00665,129670,132495,-,cyclic nucleotide-binding domain-containing protein,Q31S06,C,
SYNPCC7942_RS00670,SYNPCC7942_RS00670,132721,133770,-,NAD(P)-binding protein,Q31S05,S,K06955
SYNPCC7942_RS00675,SYNPCC7942_RS00675,133915,134754,+,hypothetical protein,Q31S04,S,
SYNPCC7942_RS00680,SYNPCC7942_RS00680,134859,136052,+,O-antigen ligase family protein,UPI0012DF953E,M,
SYNPCC7942_RS00685,SYNPCC7942_RS00685,136016,136651,-,methyltransferase domain-containing protein,A0A0H3K5X1,H,K03183
SYNPCC7942_RS00690,SYNPCC7942_RS00690,136706,138013,-,site-specific integrase,A0A0H3K2U8,L,
SYNPCC7942_RS00695,SYNPCC7942_RS00695,138115,139278,+,ferrochelatase,Q31S00,H,K01772
SYNPCC7942_RS00700,SYNPCC7942_RS00700,139416,140018,+,M23 family metallopeptidase,Q31RZ9,M,
SYNPCC7942_RS00705,ilvB,140268,142106,+,biosynthetic-type acetolactate synthase large subunit,Q31RZ8,H,K01652
SYNPCC7942_RS00710,SYNPCC7942_RS00710,142233,142631,-,hypothetical protein,A0A0H3K3D1,X,
SYNPCC7942_RS00715,secF,142618,143562,-,protein translocase subunit SecF,Q31RZ6,U,K03074
SYNPCC7942_RS00720,secD,143572,144966,-,protein translocase subunit SecD,Q31RZ5,U,K03072
SYNPCC7942_RS00725,SYNPCC7942_RS00725,145003,145983,-,alpha-ketoacid dehydrogenase subunit beta,Q31RZ4,C,K00162
SYNPCC7942_RS00730,SYNPCC7942_RS00730,146268,146720,+,DUF4281 domain-containing protein,A0A0H3K9B2,S,
SYNPCC7942_RS00735,SYNPCC7942_RS00735,146717,147040,-,DUF3082 domain-containing protein,A0A0H3K3C8,S,
SYNPCC7942_RS00740,SYNPCC7942_RS00740,147160,147855,+,hypothetical protein,Q31RZ1,X,
SYNPCC7942_RS00745,SYNPCC7942_RS00745,148159,148491,-,hypothetical protein,A0A0H3K2T6,X,
SYNPCC7942_RS00750,SYNPCC7942_RS00750,148646,150190,+,AAA family ATPase,Q31RY9,S,K07028
SYNPCC7942_RS00755,SYNPCC7942_RS00755,150187,150744,-,methylated-DNA--[protein]-cysteine S-methyltransferase,Q31RY8,L,K10778
SYNPCC7942_RS00760,SYNPCC7942_RS00760,150752,151858,-,glycosyltransferase,UPI0000460168,M,K00721
SYNPCC7942_RS00765,SYNPCC7942_RS00765,152527,154917,+,response regulator,Q31RY6,T,
SYNPCC7942_RS00770,SYNPCC7942_RS00770,154914,156020,-,phospho-N-acetylmuramoyl-pentapeptide-transferase,Q5N2C7,M,K01000
SYNPCC7942_RS00775,SYNPCC7942_RS00775,156026,156307,-,DUF3134 domain-containing protein,A0A0H3K2T0,S,
SYNPCC7942_RS00780,SYNPCC7942_RS00780,156340,156957,+,fibrillin,A0A0H3K2Q2,S,
SYNPCC7942_RS00785,SYNPCC7942_RS00785,156954,157184,+,hypothetical protein,Q31RY2,X,
SYNPCC7942_RS00790,SYNPCC7942_RS00790,157210,158841,-,alpha-D-glucose phosphate-specific phosphoglucomutase,A0A0H3K999,G,K01835
SYNPCC7942_RS00795,SYNPCC7942_RS00795,159042,159560,-,hypothetical protein,A0A0H3K3C1,X,
SYNPCC7942_RS00800,moeB,159996,161171,-,molybdopterin-synthase adenylyltransferase MoeB,Q31RX9,H,K21147
SYNPCC7942_RS00805,SYNPCC7942_RS00805,161198,161632,-,M67 family metallopeptidase,A0A0H3K2S3,S,
SYNPCC7942_RS00810,SYNPCC7942_RS00810,161726,162661,+,GTPase Era,A0A0H3K2P6,S,K03595
SYNPCC7942_RS00815,SYNPCC7942_RS00815,162764,163306,+,phycobiliprotein lyase,A0A0H3K992,H,
SYNPCC7942_RS00820,SYNPCC7942_RS00820,163405,163755,+,hypothetical protein,A0A0H3K3B7,X,
SYNPCC7942_RS00825,SYNPCC7942_RS00825,163761,164510,+,class I SAM-dependent methyltransferase,A0A0H3K5U4,Q,
SYNPCC7942_RS00830,rsfS,164548,164967,+,ribosome silencing factor,A0A0H3K2R8,J,K09710
SYNPCC7942_RS00835,SYNPCC7942_RS00835,164986,165486,+,CGLD27 family protein,A0A0H3K2P1,S,
SYNPCC7942_RS00840,SYNPCC7942_RS00840,165483,166436,+,asparaginase,A0A0H3K985,E,K01424
SYNPCC7942_RS00850,SYNPCC7942_RS00850,166695,166925,-,hypothetical protein,Q31RX0,X,
SYNPCC7942_RS00855,SYNPCC7942_RS00855,167065,167748,+,hypothetical protein,Q31RW9,X,
SYNPCC7942_RS00860,SYNPCC7942_RS00860,168176,170347,+,glutamine synthetase,A0A0H3K5T9,S,K01915
SYNPCC7942_RS00865,SYNPCC7942_RS00865,170435,170752,+,hypothetical protein,UPI000584411C,X,
SYNPCC7942_RS00870,SYNPCC7942_RS00870,170929,171915,+,cysteine synthase A,UPI000046015D,E,K01738
SYNPCC7942_RS00875,SYNPCC7942_RS00875,171912,172205,+,hypothetical protein,Q31RW5,X,
SYNPCC7942_RS00880,SYNPCC7942_RS00880,172202,173071,-,3'(2')%2C5'-bisphosphate nucleotidase CysQ,A0A0H3K2N4,P,K01082
SYNPCC7942_RS00885,rsmI,173111,173989,+,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,A0A0H3K977,H,K07056
SYNPCC7942_RS00890,SYNPCC7942_RS00890,173986,174198,+,DUF1049 domain-containing protein,Q31RW2,X,
SYNPCC7942_RS13665,SYNPCC7942_RS13665,174311,174712,+,hypothetical protein,A0A0H3K3B0,X,
SYNPCC7942_RS00900,SYNPCC7942_RS00900,174709,175497,-,multidrug ABC transporter permease,Q31RW0,S,K01992
SYNPCC7942_RS00905,SYNPCC7942_RS00905,175494,176477,-,ATP-binding cassette domain-containing protein,UPI0002DEFCC6,S,K01990
SYNPCC7942_RS00910,SYNPCC7942_RS00910,176757,177095,+,tRNA-binding protein,UPI000585580C,J,
SYNPCC7942_RS00915,SYNPCC7942_RS00915,177550,178422,-,DUF4435 domain-containing protein,A0A0H3K966,S,
SYNPCC7942_RS00920,SYNPCC7942_RS00920,178419,179792,-,AAA family ATPase,A0A0H3K3A6,V,
SYNPCC7942_RS00925,SYNPCC7942_RS00925,180156,180881,-,class I SAM-dependent methyltransferase,Q31RV5,J,
SYNPCC7942_RS00930,SYNPCC7942_RS00930,181078,181467,+,hypothetical protein,Q31RV4,X,
SYNPCC7942_RS00935,SYNPCC7942_RS00935,181464,182555,+,inorganic phosphate transporter,A0A0H3K2M2,P,
SYNPCC7942_RS00940,SYNPCC7942_RS00940,182620,184146,+,gamma-glutamyltranspeptidase,Q31RV2,E,K00681
SYNPCC7942_RS00945,SYNPCC7942_RS00945,184160,184411,+,hypothetical protein,UPI00003A06ED,X,
SYNPCC7942_RS00950,SYNPCC7942_RS00950,184418,185461,-,HlyC/CorC family transporter,A0A0H3K3A0,S,
SYNPCC7942_RS00955,SYNPCC7942_RS00955,185682,187418,+,EAL domain-containing protein,A0A0H3K5S2,T,
SYNPCC7942_RS00960,guaA,187531,189135,-,glutamine-hydrolyzing GMP synthase,Q5N2F8,F,K01951
SYNPCC7942_RS00965,SYNPCC7942_RS00965,189273,190397,-,cobalt-precorrin-5B (C(1))-methyltransferase,Q31RU7,H,K02188
SYNPCC7942_RS00970,SYNPCC7942_RS00970,190472,191620,+,alanine--glyoxylate aminotransferase family protein,A0A0H3K2P4,E,
SYNPCC7942_RS00975,SYNPCC7942_RS00975,191710,192186,-,hypothetical protein,A0A0H3K2L7,S,
SYNPCC7942_RS00980,SYNPCC7942_RS00980,192247,192471,-,hypothetical protein,UPI0000460151,X,
SYNPCC7942_RS00985,polA,192655,195549,-,DNA polymerase I,UPI0012DEE9CE,L,K02335
SYNPCC7942_RS00990,SYNPCC7942_RS00990,195630,196058,+,pentapeptide repeat-containing protein,A0A0H3K5R5,T,
SYNPCC7942_RS00995,SYNPCC7942_RS00995,196094,197575,-,lignostilbene alpha-beta-dioxygenase,A0A0H3K2N7,C,K00464
SYNPCC7942_RS01000,fbt,197572,198933,-,folate/biopterin family MFS transporter,O68867,G,
SYNPCC7942_RS01005,SYNPCC7942_RS01005,198993,200429,-,NAD(P)/FAD-dependent oxidoreductase,A0A0H3K945,C,K03885
SYNPCC7942_RS01010,SYNPCC7942_RS01010,200426,201352,-,DUF2231 domain-containing protein,Q31RT8,S,
SYNPCC7942_RS01015,SYNPCC7942_RS01015,201352,201888,-,DUF2231 domain-containing protein,UPI000046014D,S,
SYNPCC7942_RS01020,SYNPCC7942_RS01020,201889,202641,-,c-type cytochrome,A0A0H3K2N1,C,
SYNPCC7942_RS01025,SYNPCC7942_RS01025,202638,203957,-,cb-type cytochrome C oxidase subunit I,UPI00003A06DF,C,
SYNPCC7942_RS01030,ribD,204483,205589,-,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD,Q31RT4,H,K11752
SYNPCC7942_RS01035,SYNPCC7942_RS01035,205582,206046,-,DUF3122 domain-containing protein,A0A0H3K389,S,
SYNPCC7942_RS01040,SYNPCC7942_RS01040,206198,207214,+,bifunctional nicotinamide-nucleotide adenylyltransferase/Nudix hydroxylase,Q31RT2,F,K13522
SYNPCC7942_RS01045,SYNPCC7942_RS01045,207362,208750,+,nicotinate phosphoribosyltransferase,A0A0H3K2M5,H,K03462
SYNPCC7942_RS01055,SYNPCC7942_RS01055,209056,211827,+,tetratricopeptide repeat protein,Q31RS9,M,
SYNPCC7942_RS01060,SYNPCC7942_RS01060,211824,212450,-,septum formation inhibitor Maf,UPI00003A06D9,D,K06287
SYNPCC7942_RS01065,SYNPCC7942_RS01065,212496,212897,+,hypothetical protein,Q31RS7,X,
SYNPCC7942_RS01070,cobQ,212909,214384,+,cobyric acid synthase CobQ,Q31RS6,H,K02232
SYNPCC7942_RS01075,aroC,214471,215559,+,chorismate synthase,Q31RS5,E,K01736
SYNPCC7942_RS01080,SYNPCC7942_RS01080,215643,216188,-,hypothetical protein,A0A0H3K385,X,
SYNPCC7942_RS01085,SYNPCC7942_RS01085,216461,217432,+,AEC family transporter,UPI00058484F7,S,K07088
SYNPCC7942_RS01090,SYNPCC7942_RS01090,217424,217813,-,hypothetical protein,A0A0H3K2M0,L,
SYNPCC7942_RS01095,SYNPCC7942_RS01095,217948,218964,-,zinc-dependent alcohol dehydrogenase family protein,Q31RS1,C,K00344
SYNPCC7942_RS01100,SYNPCC7942_RS01100,219107,219871,+,HAD family hydrolase,UPI00003A06D1,S,
SYNPCC7942_RS01110,SYNPCC7942_RS01110,220024,220191,-,protochlorophyllide reductase,A0A0H3K381,S,
SYNPCC7942_RS01115,SYNPCC7942_RS01115,220316,220636,-,hypothetical protein,A0A0H3K5P4,X,
SYNPCC7942_RS01120,SYNPCC7942_RS01120,220639,221397,-,MinD/ParA family protein,A0A0H3K2L5,D,
SYNPCC7942_RS01125,SYNPCC7942_RS01125,221498,222535,+,glucokinase,A0A0H3K2K1,H,K00845
SYNPCC7942_RS01130,SYNPCC7942_RS01130,222532,223398,+,SDR family oxidoreductase,A0A0H3K915,G,
SYNPCC7942_RS01135,SYNPCC7942_RS01135,223395,223805,-,hypothetical protein,Q31RR4,X,
SYNPCC7942_RS01140,psbN,223821,223961,-,photosystem II reaction center protein PsbN,Q31RR3,S,K02715
SYNPCC7942_RS01145,psbH,224060,224263,+,photosystem II reaction center protein PsbH,Q31RR2,S,K02709
SYNPCC7942_RS01150,SYNPCC7942_RS01150,224357,224632,+,TatA/E family twin arginine-targeting protein translocase,Q31RR1,U,K03116
